absolute_frequency_log_magnitude_error,axis,candidate_frequency_imag_W_m2K,candidate_frequency_real_W_m2K,comparator_depth_m,comparison_role,effective_coordinate,formal_case,frequency_cumulative_rmse,frequency_log_magnitude_error,frequency_squared_rmse_contribution,grid_family,impulse_error,pair_id,production_depth_m,raw_coordinate,raw_unnormalized,reference_frequency_imag_W_m2K,reference_frequency_real_W_m2K,region,step_error,voting
,time,,,0.0001024,mesh_D,2.5225633627738074e-07,False,,,,inherited_raw,5.9480740818666494e-08,primary_51p2um_vs_102p4um,5.12e-05,2.5225633627738074e-07,True,,,bare_vo2,-1.918450956829748e-07,False
,time,,,0.0001024,mesh_D,2.7770421881606315e-07,False,,,,inherited_raw,5.1495621512599314e-08,primary_51p2um_vs_102p4um,5.12e-05,2.7770421881606315e-07,True,,,bare_vo2,-1.828445472592332e-07,False
,time,,,0.0001024,mesh_D,3.057193103107593e-07,False,,,,inherited_raw,4.4582439597817484e-08,primary_51p2um_vs_102p4um,5.12e-05,3.057193103107593e-07,True,,,bare_vo2,-1.7426621040720024e-07,False
,time,,,0.0001024,mesh_D,3.365605934809086e-07,False,,,,inherited_raw,3.8597304203487505e-08,primary_51p2um_vs_102p4um,5.12e-05,3.365605934809086e-07,True,,,bare_vo2,-1.660902868333285e-07,False
,time,,,0.0001024,mesh_D,3.7051317749304463e-07,False,,,,inherited_raw,3.341563906918279e-08,primary_51p2um_vs_102p4um,5.12e-05,3.7051317749304463e-07,True,,,bare_vo2,-1.5829790571900083e-07,False
,time,,,0.0001024,mesh_D,4.0789093362405023e-07,False,,,,inherited_raw,2.8929589158634395e-08,primary_51p2um_vs_102p4um,5.12e-05,4.0789093362405023e-07,True,,,bare_vo2,-1.5087108014668178e-07,False
,time,,,0.0001024,mesh_D,4.4903939681287744e-07,False,,,,inherited_raw,2.5045775107241292e-08,primary_51p2um_vs_102p4um,5.12e-05,4.4903939681287744e-07,True,,,bare_vo2,-1.43792665975632e-07,False
,time,,,0.0001024,mesh_D,4.943389599238301e-07,False,,,,inherited_raw,2.1683352222824566e-08,primary_51p2um_vs_102p4um,5.12e-05,4.943389599238301e-07,True,,,bare_vo2,-1.3704632260697335e-07,False
,time,,,0.0001024,mesh_D,5.442083902504606e-07,False,,,,inherited_raw,1.8772328461771813e-08,primary_51p2um_vs_102p4um,5.12e-05,5.442083902504606e-07,True,,,bare_vo2,-1.3061647518232425e-07,False
,time,,,0.0001024,mesh_D,5.991087007680554e-07,False,,,,inherited_raw,1.6252106369219173e-08,primary_51p2um_vs_102p4um,5.12e-05,5.991087007680554e-07,True,,,bare_vo2,-1.244882787566476e-07,False
,time,,,0.0001024,mesh_D,6.595474119221076e-07,False,,,,inherited_raw,1.4070222606642531e-08,primary_51p2um_vs_102p4um,5.12e-05,6.595474119221076e-07,True,,,bare_vo2,-1.1864758437128959e-07,False
,time,,,0.0001024,mesh_D,7.2608324335046e-07,False,,,,inherited_raw,1.2181257021908326e-08,primary_51p2um_vs_102p4um,5.12e-05,7.2608324335046e-07,True,,,bare_vo2,-1.1308090638535774e-07,False
,time,,,0.0001024,mesh_D,7.993312789112805e-07,False,,,,inherited_raw,1.054588650310295e-08,primary_51p2um_vs_102p4um,5.12e-05,7.993312789112805e-07,True,,,bare_vo2,-1.0777539128193215e-07,False
,time,,,0.0001024,mesh_D,8.799686527644463e-07,False,,,,inherited_raw,9.130066295176747e-09,primary_51p2um_vs_102p4um,5.12e-05,8.799686527644463e-07,True,,,bare_vo2,-1.0271878824286045e-07,False
,time,,,0.0001024,mesh_D,9.687408090707531e-07,False,,,,inherited_raw,7.904322180991376e-09,primary_51p2um_vs_102p4um,5.12e-05,9.687408090707531e-07,True,,,bare_vo2,-9.789942097181319e-08,False
,time,,,0.0001024,mesh_D,1.066468393176124e-06,False,,,,inherited_raw,6.843136835135607e-09,primary_51p2um_vs_102p4um,5.12e-05,1.066468393176124e-06,True,,,bare_vo2,-9.330616061116285e-08,False
,time,,,0.0001024,mesh_D,1.1740548379856648e-06,False,,,,inherited_raw,5.9244181983776465e-09,primary_51p2um_vs_102p4um,5.12e-05,1.1740548379856648e-06,True,,,bare_vo2,-8.892840015068086e-08,False
,time,,,0.0001024,mesh_D,1.2924947156590555e-06,False,,,,inherited_raw,5.129039992771372e-09,primary_51p2um_vs_102p4um,5.12e-05,1.2924947156590555e-06,True,,,bare_vo2,-8.475603011202074e-08,False
,time,,,0.0001024,mesh_D,1.4228829318337002e-06,False,,,,inherited_raw,4.440443796301091e-09,primary_51p2um_vs_102p4um,5.12e-05,1.4228829318337002e-06,True,,,bare_vo2,-8.077941512020936e-08,False
,time,,,0.0001024,mesh_D,1.5664248473706953e-06,False,,,,inherited_raw,3.8442939996604885e-09,primary_51p2um_vs_102p4um,5.12e-05,1.5664248473706953e-06,True,,,bare_vo2,-7.69893716276966e-08,False
,time,,,0.0001024,mesh_D,1.7244474211931033e-06,False,,,,inherited_raw,3.328179418494825e-09,primary_51p2um_vs_102p4um,5.12e-05,1.7244474211931033e-06,True,,,bare_vo2,-7.337714687502614e-08,False
,time,,,0.0001024,mesh_D,1.8984114772253831e-06,False,,,,inherited_raw,2.8813551955585594e-09,primary_51p2um_vs_102p4um,5.12e-05,1.8984114772253831e-06,True,,,bare_vo2,-6.993439868155892e-08,False
,time,,,0.0001024,mesh_D,2.0899252088344685e-06,False,,,,inherited_raw,2.4945189824501133e-09,primary_51p2um_vs_102p4um,5.12e-05,2.0899252088344685e-06,True,,,bare_vo2,-6.665317608484512e-08,False
,time,,,0.0001024,mesh_D,2.3007590456129787e-06,False,,,,inherited_raw,2.159617164224037e-09,primary_51p2um_vs_102p4um,5.12e-05,2.3007590456129787e-06,True,,,bare_vo2,-6.352590107657353e-08,False
,time,,,0.0001024,mesh_D,2.53286201993902e-06,False,,,,inherited_raw,1.8696773717696116e-09,primary_51p2um_vs_102p4um,5.12e-05,2.53286201993902e-06,True,,,bare_vo2,-6.054535118116852e-08,False
,time,,,0.0001024,mesh_D,2.7883797846116253e-06,False,,,,inherited_raw,1.618663348313429e-09,primary_51p2um_vs_102p4um,5.12e-05,2.7883797846116253e-06,True,,,bare_vo2,-5.770464268343887e-08,False
,time,,,0.0001024,mesh_D,3.069674448124088e-06,False,,,,inherited_raw,1.4013491546372356e-09,primary_51p2um_vs_102p4um,5.12e-05,3.069674448124088e-06,True,,,bare_vo2,-5.4997214740331044e-08,False
,time,,,0.0001024,mesh_D,3.379346410940354e-06,False,,,,inherited_raw,1.213210427363062e-09,primary_51p2um_vs_102p4um,5.12e-05,3.379346410940354e-06,True,,,bare_vo2,-5.241681433567983e-08,False
,time,,,0.0001024,mesh_D,3.7202584046377676e-06,False,,,,inherited_raw,1.0503302643267007e-09,primary_51p2um_vs_102p4um,5.12e-05,3.7202584046377676e-06,True,,,bare_vo2,-4.995748179883687e-08,False
,time,,,0.0001024,mesh_D,4.095561956143664e-06,False,,,,inherited_raw,9.093176064470825e-10,primary_51p2um_vs_102p4um,5.12e-05,4.095561956143664e-06,True,,,bare_vo2,-4.76135369852769e-08,False
,time,,,0.0001024,mesh_D,4.508726521711748e-06,False,,,,inherited_raw,7.872366207315592e-10,primary_51p2um_vs_102p4um,5.12e-05,4.508726521711748e-06,True,,,bare_vo2,-4.537956624154127e-08,False
,time,,,0.0001024,mesh_D,4.963571559964409e-06,False,,,,inherited_raw,6.815456463980191e-10,primary_51p2um_vs_102p4um,5.12e-05,4.963571559964409e-06,True,,,bare_vo2,-4.3250409922719465e-08,False
,time,,,0.0001024,mesh_D,5.464301840497083e-06,False,,,,inherited_raw,5.900442678671695e-10,primary_51p2um_vs_102p4um,5.12e-05,5.464301840497083e-06,True,,,bare_vo2,-4.1221150394753965e-08,False
,time,,,0.0001024,mesh_D,6.015546314451432e-06,False,,,,inherited_raw,5.108274783573432e-10,primary_51p2um_vs_102p4um,5.12e-05,6.015546314451432e-06,True,,,bare_vo2,-3.928710066862482e-08,False
,time,,,0.0001024,mesh_D,6.622400906392513e-06,False,,,,inherited_raw,4.422461151496376e-10,primary_51p2um_vs_102p4um,5.12e-05,6.622400906392513e-06,True,,,bare_vo2,-3.744379344401235e-08,False
,time,,,0.0001024,mesh_D,7.29047562307526e-06,False,,,,inherited_raw,3.828727835489058e-10,primary_51p2um_vs_102p4um,5.12e-05,7.29047562307526e-06,True,,,bare_vo2,-3.5686969869812635e-08,False
,time,,,0.0001024,mesh_D,8.025946414592429e-06,False,,,,inherited_raw,3.3147293360132644e-10,primary_51p2um_vs_102p4um,5.12e-05,8.025946414592429e-06,True,,,bare_vo2,-3.401256610156362e-08,False
,time,,,0.0001024,mesh_D,8.835612267329302e-06,False,,,,inherited_raw,2.8698165730907277e-10,primary_51p2um_vs_102p4um,5.12e-05,8.835612267329302e-06,True,,,bare_vo2,-3.2416690643654505e-08,False
,time,,,0.0001024,mesh_D,9.72695805651532e-06,False,,,,inherited_raw,2.484881512133451e-10,primary_51p2um_vs_102p4um,5.12e-05,9.72695805651532e-06,True,,,bare_vo2,-3.08955708740761e-08,False
