seed,split,case_id,contact_overlap_nm,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,median_wall_time_s,timing_repeats,finite,practical_case_pass,historical_pr39_metrics_modified
20260809,train,cooling_low_localized-sink,20.0,N2,5.3417465344852425e-08,1.5054349476275885e-08,3.423590741056416e-08,6.30158408656128e-09,3.43659556964173e-05,3.4365955479857344e-05,0.0,5.0056428496121986e-08,2.3701929110553704e-10,2.6290606272846308e-15,1.1180080317515425e-12,1.1180080317515425e-12,2,4,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_nominal,20.0,A1,6.876512499191974e-05,7.760602993216606e-06,3.826286399256817e-05,6.691268772584802e-05,3.438385435860661e-05,3.438615522867352e-05,0.2,6.846967148230217e-05,3.571313200804425e-07,7.883076175650724e-15,6.598134759015354e-13,6.598134759015354e-13,1,2,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_nominal,20.0,A2,3.1702678902365697e-07,2.2712286091347703e-08,1.6986953755750233e-07,3.479419259477091e-07,3.4386143264288446e-05,3.438615522867352e-05,0.2,3.5073333188391115e-07,1.8294274986670148e-09,1.9706378601265944e-15,6.813151961739705e-13,6.813151961739705e-13,2,4,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_nominal,20.0,R0,0.8749285906673484,3.0446102004900104e-05,0.43747951838467664,0.004547741089055683,3.4229775897645436e-05,3.438615522867352e-05,0.565685424949238,0.8743582579916651,0.004531112148290186,2.243592073580376e-15,0.8735161604772665,0.8735161604772665,0,1,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_nominal,20.0,R1,0.004550991235276356,3.0446102004900104e-05,0.002290718668640628,0.004547741089055683,3.4229775897645436e-05,3.438615522867352e-05,0.5882176467941096,0.0045274172209677725,2.3614088220836653e-05,2.243592073580376e-15,8.029420103324752e-13,8.029420103324752e-13,1,2,1,2,False,nan,0,True,False,False
baseline,train,cooling_low_nominal,20.0,R2,2.3687387656064166e-05,9.607614405095067e-08,1.1891731900057559e-05,2.3710252363352026e-05,3.4385339924255245e-05,3.438615522867352e-05,0.5882176467941096,2.3597766702979023e-05,1.2308521336121942e-07,3.9413677997433054e-15,6.919728067077875e-13,6.919728067077875e-13,2,4,1,2,False,nan,0,True,False,False
20260809,train,cooling_low_nominal,20.0,N0,0.008936910758229862,8.433921436010201e-06,0.004472672339832936,1.1727568811064938e-06,3.438611490207336e-05,3.438615522867352e-05,0.5824087911424415,0.008935891389006918,4.660880669154199e-05,1.9706394855400827e-15,0.00018094055406200335,0.00018094055406200335,0,1,1,2,False,nan,0,True,False,False
20260809,train,cooling_low_nominal,20.0,N1,3.231010040326894e-05,8.433921436010201e-06,2.037201091963957e-05,1.1727568811064938e-06,3.438611490207336e-05,3.438615522867352e-05,0.5882176467941096,3.223880653841625e-05,1.6815502526813153e-07,1.9706394855400827e-15,7.789281006505381e-13,7.789281006505381e-13,1,2,1,2,False,nan,0,True,False,False
20260809,train,cooling_low_nominal,20.0,N2,1.3624069025070015e-07,2.581752316711109e-08,8.102910670890562e-08,5.202121711032726e-09,3.438615504979256e-05,3.438615522867352e-05,0.5882176467941096,1.3754426967719114e-07,7.174285520377576e-10,3.941274369421119e-16,7.919333966283898e-13,7.919333966283898e-13,2,4,1,2,False,nan,0,True,False,False
baseline,train,cooling_near-transition_localized-sink,20.0,A1,0.009882273599928324,0.002134347491647418,0.006008310545787871,0.0034145870853168232,0.0006247304775271107,0.0006226045401052079,0.0,0.009658535478994684,0.0005483284340119807,1.6600165749874503e-15,4.3764073340576313e-14,4.3764073340576313e-14,1,2,1,2,False,nan,0,True,False,False
baseline,train,cooling_near-transition_localized-sink,20.0,A2,0.00031882878382070464,7.825419248883683e-05,0.00019854148815477072,0.00017281213512418365,0.0006227121337251215,0.0006226045401052079,0.0,0.0003050297000440104,1.7196378884473982e-05,1.513997313933259e-15,4.2694724252916134e-14,4.2694724252916134e-14,2,4,1,2,False,nan,0,True,False,False
baseline,train,cooling_near-transition_localized-sink,20.0,R0,0.48842482466962167,0.0005001052232906741,0.24446246494645618,0.027655440128436574,0.0006398229426877802,0.0006226045401052079,0.0,0.4486863259009156,0.026393994109127503,1.031455898872757e-15,0.3267981830929479,0.3267981830929479,0,1,1,2,False,nan,0,True,False,False
