seed,split,case_id,contact_overlap_nm,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,median_wall_time_s,timing_repeats,finite,practical_case_pass,nonlinear_iteration_count,practical_gate_role
baseline,train,g010nm_heating_high_localized-sink,10.0,COLD,6.4416982019256995e-15,1.0788733920955127e-15,3.760285797010606e-15,3.963765139590594e-15,0.003282340303131561,0.003282340303131548,0.0,8.534705340418156e-09,8.141331424277982e-10,2.642510093060386e-15,2.5303002997396514e-09,2.5303002997396514e-09,43,87,1,2,False,0.24107390000426676,10,True,True,43,reference_baseline_nonvoting
baseline,train,g010nm_heating_high_localized-sink,10.0,A1,0.018080100228059493,0.003973493961436518,0.011026797094748006,0.003459944007035863,0.0032936970167924203,0.003282340303131548,0.0,0.01747874165349797,0.00165737270850469,0.0,6.320156834581614e-15,6.320156834581614e-15,1,2,1,2,False,0.005970150014036335,20,True,True,0,admission_metric
baseline,train,g010nm_heating_high_localized-sink,10.0,A2,0.0010059467188026877,0.00024746985806798033,0.000626708288435334,0.0002729623786095309,0.0032832362585480967,0.003282340303131548,0.0,0.0009320421362140037,8.928369902047569e-05,7.044770624148063e-16,6.692532092940665e-15,6.692532092940665e-15,2,4,1,2,False,0.011276250021182932,20,True,True,0,admission_metric
baseline,train,g010nm_heating_high_localized-sink,10.0,R0,0.20785581297878392,0.001225797721941973,0.10454080535036295,0.017669997955968856,0.0032243413566844193,0.003282340303131548,0.17999999999999997,0.1930260615209223,0.018081510721903633,2.8693793600242845e-15,0.1631580537522679,0.1631580537522679,0,1,1,2,False,0.004076350000104867,20,True,False,0,admission_metric
baseline,train,g010nm_heating_high_localized-sink,10.0,R1,0.01932399190782388,0.001225797721941973,0.010274894814882926,0.017669997955968856,0.0032243413566844193,0.003282340303131548,0.0,0.017456684674768054,0.001649647552197245,2.8693793600242845e-15,7.352784610062248e-15,7.352784610062248e-15,1,2,1,2,False,0.005206050002016127,20,True,True,0,admission_metric
baseline,train,g010nm_heating_high_localized-sink,10.0,R2,0.0019149554737559807,2.8655413129147692e-05,0.0009718054434425642,0.0016206504725139817,0.003277020776768326,0.003282340303131548,0.0,0.0017283564173481286,0.0001633101536276344,1.9409863954298537e-15,6.352319112315895e-15,6.352319112315895e-15,2,4,1,2,False,0.011181399982888252,20,True,True,0,admission_metric
baseline,train,g010nm_heating_high_nominal,10.0,COLD,6.969966965252569e-15,9.573603579837488e-16,3.963663661618159e-15,2.3483917976617594e-15,0.0033240857209892003,0.003324085720989208,0.6000000000000001,1.0425975509914812e-08,1.0782924998355364e-09,8.69774739874727e-16,1.0418965332124176e-08,1.0418965332124176e-08,42,85,1,2,False,0.2356603499938501,10,True,False,42,reference_baseline_nonvoting
baseline,train,g010nm_heating_high_nominal,10.0,A1,0.009190975841203937,0.0005235764482158555,0.004857276144709896,0.009141973687653425,0.0032936970167924203,0.003324085720989208,0.6000000000000001,0.008294463508934204,0.0008578477455248497,0.0,6.8468365707967484e-15,6.8468365707967484e-15,1,2,1,2,False,0.006075500001315959,20,True,True,0,admission_metric
baseline,train,g010nm_heating_high_nominal,10.0,A2,0.0009312667880430744,3.7467906109533954e-05,0.0004843673470763042,0.0009246551066525052,0.0033210120881523447,0.003324085720989208,0.6000000000000001,0.0008389871652398101,8.674282479438985e-05,8.705797258639932e-16,7.312869697257543e-15,7.312869697257543e-15,2,4,1,2,False,0.010808849998284131,20,True,True,0,admission_metric
baseline,train,g010nm_heating_high_nominal,10.0,R0,0.2292848912008799,0.0009036648391960266,0.11509427802003795,0.02300147106374521,0.003247626859464466,0.003324085720989208,0.3671511950137164,0.2114830004423009,0.021609985635935264,5.34151105112754e-16,0.20734299742008552,0.20734299742008552,0,1,1,2,False,0.0040860500012058765,20,True,False,0,admission_metric
