case_id,split,contact_overlap_nm,iterations,solve_wall_time_s,converged,finite,scaled_nonlinear_residual,current_imbalance,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,source_current_A,Tmax_K,Tmean_K,hotspot_x_m,hotspot_y_m,hotspot_lateral_shift_width_fraction,chi_2d,conservative_face_quantities_finite,conservative_potential_relative_l2,conservative_source_current_relative_error,conservative_terminal_electrical_heat_ledger_error,conservative_electrical_heat_sink_ledger_error,conservative_reconstruction_gate_pass,reference_gate_pass
g020nm_cooling_near-transition_nominal,train,20.0,34,0.21029319998342544,True,True,9.275446740252386e-08,8.642785464590941e-16,1.5030931242766841e-15,8.025598292501322e-08,0.0006272295991422137,328.56658652492354,328.5303096049682,5e-09,2.9e-07,0.07999999999999996,4.473440856618248e-14,True,7.649303574550431e-16,1.555701383626368e-15,0.0,8.025598337594117e-08,True,True
g020nm_cooling_near-transition_localized-sink,validation,20.0,39,0.21071819998905994,True,True,8.787228263776582e-08,0.0,1.51425895104165e-16,1.4085184709326004e-08,0.0006226045401052086,328.5656870100371,328.11316041860556,9.499999999999999e-08,1e-08,0.48,0.18745458711802623,True,8.532297548456408e-16,1.2189784555885283e-15,1.2114071608333201e-15,1.4085184406474223e-08,True,True
g020nm_cooling_high_nominal,validation,20.0,38,0.1887490999943111,True,True,1.538903238321041e-08,2.8387550023785424e-15,3.2442914312897614e-15,6.461096279321969e-09,0.0042776020902343306,357.30599972706483,356.40804330864705,5e-09,2.9e-07,0.07999999999999996,5.782051014175793e-15,True,1.8868613357607015e-15,4.663668932479047e-15,1.351788096370732e-15,6.461096684858397e-09,True,True
g020nm_cooling_high_localized-sink,train,20.0,42,0.21365660001174547,True,True,2.4539927779765015e-08,1.0196470684162154e-15,1.6314353094659431e-15,4.919482893656916e-09,0.004253244896470154,357.29859342901744,352.79706165400717,9.499999999999999e-08,1e-08,0.48,0.182816547551146,True,7.911052299141211e-16,2.6510823778821574e-15,9.516705971884684e-16,4.919482485798093e-09,True,True
g030nm_heating_low_nominal,test,30.0,29,0.14982059999601915,True,True,9.554766297763252e-08,1.2781074696838199e-15,2.20536190847404e-15,6.160810011086954e-08,2.253262803774282e-05,325.0833812561925,325.0830458503712,9.499999999999999e-08,3.8999999999999997e-07,0.28,4.071206713387487e-12,True,8.133104479277514e-16,3.608774032048437e-15,1.0024372311245623e-15,6.16081009128193e-08,True,True
g030nm_heating_low_localized-sink,test,30.0,39,0.22568999999202788,True,True,7.617097255972423e-08,3.760872285082735e-16,4.0115971040882494e-16,1.1744381630976542e-08,2.252224704928173e-05,325.08333690655,325.0728853087283,9.499999999999999e-08,1e-08,0.48,0.17827937698791504,True,5.422065148919045e-16,7.521744570165467e-16,4.011597104088251e-16,1.1744381229816842e-08,True,True
g030nm_heating_near-transition_nominal,test,30.0,33,0.17333400002098642,True,True,7.724721400104742e-08,4.602614448248599e-16,8.0045468665193e-16,6.663947022260395e-08,0.0002944528008689898,326.67218609458064,326.66403252481217,9.499999999999999e-08,3.8999999999999997e-07,0.28,2.1213404583626256e-13,True,5.665703032195692e-16,1.8410457792994404e-15,8.004546866519292e-16,6.663947070287676e-08,True,True
g030nm_heating_near-transition_localized-sink,test,30.0,39,0.20596999998087995,True,True,8.313954782276578e-08,1.8506906895041584e-16,1.6092962517427464e-16,1.3734550741582471e-08,0.00029291825442099846,326.6711581575422,326.45428366599634,9.499999999999999e-08,1e-08,0.48,0.18118337645410482,True,8.333636978265174e-16,3.7013813790083174e-16,6.437185006970985e-16,1.3734550097863984e-08,True,True
g030nm_heating_high_nominal,test,30.0,42,0.20808019998366944,True,True,1.430523915556278e-08,1.042769363858429e-15,6.951795759056187e-16,1.1550962885588754e-08,0.0033271469916569636,349.8371654438635,349.5269168642816,9.499999999999999e-08,4.1e-07,0.32000000000000006,1.5536918209978045e-14,True,1.1841951085395718e-15,1.6945002162699453e-15,1.0427693638584286e-15,1.1550963233178539e-08,True,True
g030nm_heating_high_localized-sink,test,30.0,43,0.21296150001580827,True,True,2.2530446902883068e-08,4.625659583264092e-16,3.5243120634393057e-16,2.4473222918047884e-09,0.00328144130400667,349.8178570736842,346.29268609889493,9.499999999999999e-08,1e-08,0.48,0.18502276524499203,True,5.738571954017479e-16,1.4537787261687138e-15,1.7621560317196505e-15,2.447321586942379e-09,True,True
g030nm_cooling_low_nominal,test,30.0,30,0.2076478999806568,True,True,6.777775665193945e-08,7.882380079454096e-16,7.882380079454091e-16,4.444039934520357e-08,3.438689081079534e-05,325.1272556301209,325.1267357857574,9.499999999999999e-08,4.1e-07,0.32000000000000006,2.6439147957937205e-12,True,1.0051908114562375e-15,1.7735355178771704e-15,1.0509840105938796e-15,4.4440399870695565e-08,True,True
g030nm_cooling_low_localized-sink,test,30.0,39,0.1725805999885779,True,True,7.633557415118214e-08,1.1831153772528554e-15,2.1033162262272967e-15,1.1839591085394137e-08,3.436484915157774e-05,325.1271875642555,325.1112125050512,9.499999999999999e-08,1e-08,0.48,0.17838077732297203,True,5.794096841177994e-16,2.5634166507145233e-15,1.31457264139206e-16,1.183959055956509e-08,True,True
g030nm_cooling_near-transition_nominal,test,30.0,34,0.16509630001382902,True,True,9.840223746486757e-08,1.036853354880159e-15,2.103760430191625e-15,8.572376643832034e-08,0.0006273995261041437,328.5670383072291,328.54564203805893,9.499999999999999e-08,4.1e-07,0.32000000000000006,1.0003966837311901e-13,True,9.043596438456875e-16,8.640444624001317e-16,2.8551034409743457e-15,8.572376688912614e-08,True,True
g030nm_cooling_near-transition_localized-sink,test,30.0,39,0.22277730001951568,True,True,9.038373843980396e-08,0.0,1.5148174834563018e-16,1.4240352845436165e-08,0.0006223749779163932,328.5646594214914,328.0913233737426,9.499999999999999e-08,1e-08,0.48,0.18276686489878388,True,7.769322415208078e-16,1.9162441165722217e-15,1.9692627284931923e-15,1.4240352390990933e-08,True,True
g030nm_cooling_high_nominal,test,30.0,38,0.20466089999536052,True,True,1.677085668809271e-08,3.040918987210874e-16,1.081215639897199e-15,7.266824501725681e-09,0.0042784520483918585,357.02934025216337,356.5405680031036,9.499999999999999e-08,4.1e-07,0.32000000000000006,1.2212874205494983e-14,True,6.761386795931821e-16,0.0,8.109117299228993e-16,7.2668251774854535e-09,True,True
g030nm_cooling_high_localized-sink,test,30.0,42,0.2601194999879226,True,True,2.523667032799067e-08,6.119552136853753e-16,1.087920379885111e-15,4.925142822167317e-09,0.004252084394043619,357.0094688163703,352.5843578752616,9.499999999999999e-08,1e-08,0.48,0.1791864700625232,True,8.02922853223146e-16,8.159402849138333e-16,0.0,4.925142142217086e-09,True,True
