model,step,anchor_loss,constitutive_loss,conservation_loss,interface_loss,port_loss,ledger_loss,total_loss,finite
B0,581,0.0014463454717770219,0.0,0.0,0.0,0.0,0.0,0.014463454484939575,True
B0,586,0.0014150975039228797,0.0,0.0,0.0,0.0,0.0,0.01415097527205944,True
B0,591,0.0013710387283936143,0.0,0.0,0.0,0.0,0.0,0.0137103870511055,True
B0,596,0.0013084918027743697,0.0,0.0,0.0,0.0,0.0,0.01308491826057434,True
B0,601,0.001255224458873272,0.0,0.0,0.0,0.0,0.0,0.01255224458873272,True
B0,606,0.001213948125950992,0.0,0.0,0.0,0.0,0.0,0.012139481492340565,True
B0,611,0.0011771874269470572,0.0,0.0,0.0,0.0,0.0,0.011771874502301216,True
B0,616,0.001142537803389132,0.0,0.0,0.0,0.0,0.0,0.011425377801060677,True
B0,621,0.0011105198645964265,0.0,0.0,0.0,0.0,0.0,0.011105198413133621,True
B0,626,0.0010811196407303214,0.0,0.0,0.0,0.0,0.0,0.010811196640133858,True
B0,631,0.0010519045172259212,0.0,0.0,0.0,0.0,0.0,0.010519045405089855,True
B0,636,0.0010256239911541343,0.0,0.0,0.0,0.0,0.0,0.010256240144371986,True
B0,641,0.0010008912067860365,0.0,0.0,0.0,0.0,0.0,0.010008912533521652,True
B0,646,0.000979477190412581,0.0,0.0,0.0,0.0,0.0,0.009794771671295166,True
B0,651,0.0009668373968452215,0.0,0.0,0.0,0.0,0.0,0.009668374434113503,True
B0,656,0.0010331565281376243,0.0,0.0,0.0,0.0,0.0,0.010331565514206886,True
B0,661,0.0009308411390520632,0.0,0.0,0.0,0.0,0.0,0.009308411739766598,True
B0,666,0.0009112395928241313,0.0,0.0,0.0,0.0,0.0,0.009112396277487278,True
B0,671,0.0008982366416603327,0.0,0.0,0.0,0.0,0.0,0.00898236595094204,True
B0,676,0.0008866314892657101,0.0,0.0,0.0,0.0,0.0,0.00886631477624178,True
B0,681,0.0008758292533457279,0.0,0.0,0.0,0.0,0.0,0.00875829253345728,True
B0,686,0.0008658152655698359,0.0,0.0,0.0,0.0,0.0,0.008658153004944324,True
B0,691,0.0008567508775740862,0.0,0.0,0.0,0.0,0.0,0.008567508310079575,True
B0,696,0.0008486856240779161,0.0,0.0,0.0,0.0,0.0,0.008486855775117874,True
B0,701,0.0008413438335992396,0.0,0.0,0.0,0.0,0.0,0.008413438685238361,True
B0,706,0.0008341393549926579,0.0,0.0,0.0,0.0,0.0,0.008341393433511257,True
B0,711,0.0008268645033240318,0.0,0.0,0.0,0.0,0.0,0.008268645033240318,True
B0,716,0.0008202625322155654,0.0,0.0,0.0,0.0,0.0,0.008202625438570976,True
B0,721,0.0008145223837345839,0.0,0.0,0.0,0.0,0.0,0.008145224303007126,True
B0,726,0.0008087771129794419,0.0,0.0,0.0,0.0,0.0,0.008087771013379097,True
B0,731,0.000803536968305707,0.0,0.0,0.0,0.0,0.0,0.008035369217395782,True
B0,736,0.0007984784315340221,0.0,0.0,0.0,0.0,0.0,0.007984784431755543,True
B0,741,0.0007937841583043337,0.0,0.0,0.0,0.0,0.0,0.00793784111738205,True
B0,746,0.0007892592693679035,0.0,0.0,0.0,0.0,0.0,0.007892592810094357,True
B0,751,0.0007849475950933993,0.0,0.0,0.0,0.0,0.0,0.007849476300179958,True
B0,756,0.0007808644440956414,0.0,0.0,0.0,0.0,0.0,0.007808644324541092,True
B0,761,0.0007771263481117785,0.0,0.0,0.0,0.0,0.0,0.007771263364702463,True
B0,766,0.0007753540412522852,0.0,0.0,0.0,0.0,0.0,0.007753540296107531,True
B0,771,0.0007981007802300155,0.0,0.0,0.0,0.0,0.0,0.007981007918715477,True
B0,776,0.0008425067644566298,0.0,0.0,0.0,0.0,0.0,0.008425068110227585,True
B0,781,0.000805655203294009,0.0,0.0,0.0,0.0,0.0,0.008056552149355412,True
B0,786,0.0007800192106515169,0.0,0.0,0.0,0.0,0.0,0.007800192106515169,True
B0,791,0.0007672801148146391,0.0,0.0,0.0,0.0,0.0,0.007672801148146391,True
B0,796,0.0007599026430398226,0.0,0.0,0.0,0.0,0.0,0.007599026430398226,True
B0,801,0.0007548453868366778,0.0,0.0,0.0,0.0,0.0,0.007548453751951456,True
B0,806,0.0007509735878556967,0.0,0.0,0.0,0.0,0.0,0.007509735878556967,True
B0,811,0.0007478782790713012,0.0,0.0,0.0,0.0,0.0,0.007478782907128334,True
B0,816,0.0007453506696037948,0.0,0.0,0.0,0.0,0.0,0.00745350681245327,True
B0,821,0.0007432361016981304,0.0,0.0,0.0,0.0,0.0,0.0074323611333966255,True
B0,826,0.0007413465646095574,0.0,0.0,0.0,0.0,0.0,0.007413465529680252,True
B0,831,0.0007394776330329478,0.0,0.0,0.0,0.0,0.0,0.007394776213914156,True
B0,836,0.0007375341956503689,0.0,0.0,0.0,0.0,0.0,0.0073753418400883675,True
B0,841,0.0007356356945820153,0.0,0.0,0.0,0.0,0.0,0.007356356829404831,True
B0,846,0.0007339408621191978,0.0,0.0,0.0,0.0,0.0,0.0073394086211919785,True
B0,851,0.0007323725149035454,0.0,0.0,0.0,0.0,0.0,0.007323725149035454,True
B0,856,0.0007308156345970929,0.0,0.0,0.0,0.0,0.0,0.007308156229555607,True
B0,861,0.0007293606759048998,0.0,0.0,0.0,0.0,0.0,0.0072936066426336765,True
B0,866,0.0007279796409420669,0.0,0.0,0.0,0.0,0.0,0.007279796525835991,True
B0,871,0.0007266562897711992,0.0,0.0,0.0,0.0,0.0,0.007266562897711992,True
B0,876,0.0007254010997712612,0.0,0.0,0.0,0.0,0.0,0.007254010997712612,True
B0,881,0.0007242055726237595,0.0,0.0,0.0,0.0,0.0,0.007242055609822273,True
B0,886,0.0007230620249174535,0.0,0.0,0.0,0.0,0.0,0.007230620365589857,True
B0,891,0.0007219756953418255,0.0,0.0,0.0,0.0,0.0,0.007219756953418255,True
B0,896,0.000720940763130784,0.0,0.0,0.0,0.0,0.0,0.00720940763130784,True
B0,901,0.0007199553656391799,0.0,0.0,0.0,0.0,0.0,0.007199553772807121,True
B0,906,0.0007190346368588507,0.0,0.0,0.0,0.0,0.0,0.007190346252173185,True
B0,911,0.0007183370762504637,0.0,0.0,0.0,0.0,0.0,0.007183370646089315,True
B0,916,0.0007200450054369867,0.0,0.0,0.0,0.0,0.0,0.007200450170785189,True
B0,921,0.0007553944014944136,0.0,0.0,0.0,0.0,0.0,0.007553943898528814,True
B0,926,0.0007765812915749848,0.0,0.0,0.0,0.0,0.0,0.007765812799334526,True
B0,931,0.0007609425229020417,0.0,0.0,0.0,0.0,0.0,0.007609425112605095,True
B0,936,0.0007402084302157164,0.0,0.0,0.0,0.0,0.0,0.007402084302157164,True
B0,941,0.0007283243467099965,0.0,0.0,0.0,0.0,0.0,0.007283243350684643,True
B0,946,0.0007215622463263571,0.0,0.0,0.0,0.0,0.0,0.0072156223468482494,True
B0,951,0.0007174764177761972,0.0,0.0,0.0,0.0,0.0,0.007174764294177294,True
B0,956,0.000714810099452734,0.0,0.0,0.0,0.0,0.0,0.00714810099452734,True
B0,961,0.0007129626465030015,0.0,0.0,0.0,0.0,0.0,0.007129626348614693,True
B0,966,0.0007116281776688993,0.0,0.0,0.0,0.0,0.0,0.007116281893104315,True
B0,971,0.0007106485427357256,0.0,0.0,0.0,0.0,0.0,0.007106485310941935,True
B0,976,0.0007099373615346849,0.0,0.0,0.0,0.0,0.0,0.007099373731762171,True
B0,981,0.0007094242027960718,0.0,0.0,0.0,0.0,0.0,0.0070942421443760395,True
B0,986,0.0007090167491696775,0.0,0.0,0.0,0.0,0.0,0.007090167608112097,True
B0,991,0.0007086116238497198,0.0,0.0,0.0,0.0,0.0,0.0070861163549125195,True
B0,996,0.0007081551011651754,0.0,0.0,0.0,0.0,0.0,0.007081551011651754,True
B0,1000,0.000707767903804779,0.0,0.0,0.0,0.0,0.0,0.0070776790380477905,True
B1,1,0.012936067767441273,0.0,45.21579360961914,0.0024381596595048904,1.54731374379935e-08,1.8090293707473393e-08,45.34637451171875,True
B1,6,0.02157268114387989,0.0,78.62468719482422,0.017371589317917824,4.503021955315489e-09,4.8199311208918516e-08,78.8490982055664,True
B1,11,0.03301290050148964,0.0,36.066444396972656,0.11763167381286621,4.396999315758876e-07,1.0361953172832727e-05,36.45539855957031,True
B1,16,0.04046173766255379,0.0,63.14735412597656,0.1801111251115799,1.6216579751926474e-05,0.0060178120620548725,63.64806365966797,True
B1,21,0.033991891890764236,0.0,16.038314819335938,0.14959104359149933,1.774489355454989e-08,3.9825209796617855e-08,16.453027725219727,True
B1,26,0.02804364450275898,0.0,45.9352912902832,0.01142891962081194,1.3080140526255946e-08,1.423192088623182e-07,46.22144317626953,True
B1,31,0.030166367068886757,0.0,17.188814163208008,0.022610994055867195,1.7435904737794772e-05,8.867775250109844e-06,17.50181007385254,True
B1,36,0.028879784047603607,0.0,38.496978759765625,0.06838560104370117,0.00019233993953093886,4.371572686068248e-06,38.82016372680664,True
B1,41,0.032713163644075394,0.0,35.99678421020508,0.1400601863861084,1.7195159074390176e-08,2.4825524747029704e-08,36.39394760131836,True
B1,46,0.04021335765719414,0.0,16.299909591674805,0.12677940726280212,4.593264435470701e-08,6.789157236397614e-09,16.765432357788086,True
B1,51,0.05128450319170952,0.0,21.935571670532227,0.31976833939552307,1.5429080804096884e-06,2.946039785456378e-05,22.60833168029785,True
B1,56,0.05744839087128639,0.0,34.68982696533203,0.5336969494819641,0.00012858878471888602,0.001071134116500616,35.53236389160156,True
B1,61,0.07356822490692139,0.0,46.99269485473633,0.4550779163837433,3.809980597679896e-08,4.9584794936663457e-08,47.95591735839844,True
B1,66,0.08008019626140594,0.0,25.426389694213867,0.8446506857872009,1.8235722265558252e-08,5.803162750339652e-08,26.649517059326172,True
B1,71,0.07682030647993088,0.0,26.126163482666016,0.8312052488327026,9.678493370302022e-06,8.182512829080224e-06,27.309986114501953,True
B1,76,0.06697039306163788,0.0,18.851285934448242,0.7729413509368896,0.0004735260736197233,0.0007963733514770865,19.90873146057129,True
B1,81,0.05957356095314026,0.0,19.75823211669922,0.435386061668396,5.2065982636406716e-09,2.6262043206770613e-08,20.5716609954834,True
B1,86,0.05147683247923851,0.0,27.532312393188477,0.5049663782119751,1.0332566802162546e-08,3.782534285790007e-09,28.299564361572266,True
B1,91,0.04878610745072365,0.0,29.98932647705078,1.639496922492981,5.006605192647839e-07,9.820079185374198e-07,31.296937942504883,True
B1,96,0.05157586932182312,0.0,28.678255081176758,0.7465835809707642,0.0004040364583488554,0.0013918884797021747,29.569101333618164,True
B1,101,0.054831355810165405,0.0,25.52267074584961,0.5593846440315247,9.96428184407705e-09,1.452292508474784e-08,26.350675582885742,True
B1,106,0.05674128234386444,0.0,28.390344619750977,0.3903729021549225,8.829065478721532e-09,1.1030377322640561e-07,29.152944564819336,True
B1,111,0.054207220673561096,0.0,14.976391792297363,0.43200698494911194,2.8503284283942776e-06,3.570743865566328e-05,15.734505653381348,True
B1,116,0.04358023777604103,0.0,45.56610870361328,0.6043099761009216,0.0005231740069575608,3.454291800153442e-05,46.304622650146484,True
B1,121,0.039822403341531754,0.0,30.345691680908203,0.5737111568450928,5.736775943177008e-09,1.5065579006545704e-08,31.030771255493164,True
B1,126,0.04585649445652962,0.0,25.03302764892578,0.8140210509300232,9.439735215721612e-09,1.1851215120373126e-08,25.898603439331055,True
B1,131,0.060593634843826294,0.0,9.28946590423584,0.4894813597202301,3.5671982914209366e-06,1.933800376718864e-06,10.140148162841797,True
B1,136,0.07351256161928177,0.0,24.94695472717285,0.4210306406021118,0.0005032022600062191,0.0022047965321689844,25.895305633544922,True
B1,141,0.06273651868104935,0.0,19.821216583251953,0.862510621547699,2.1303337760514296e-08,2.5993700525361874e-09,20.879837036132812,True
B1,146,0.04796785116195679,0.0,19.24384880065918,0.5740817189216614,2.5117348201320056e-08,1.3884547911402478e-07,20.010568618774414,True
B1,151,0.036045003682374954,0.0,24.145416259765625,0.5225841999053955,7.1317685979011e-06,1.7508544260635972e-05,24.767183303833008,True
B1,156,0.030698692426085472,0.0,17.411746978759766,0.9941505193710327,0.0010977040510624647,0.0003759025421459228,18.21728515625,True
B1,161,0.026271777227520943,0.0,19.273794174194336,0.14671778678894043,1.7247996808578137e-08,7.673956048392938e-08,19.60987091064453,True
B1,166,0.02641405165195465,0.0,40.747562408447266,0.848643958568573,1.0901411329200528e-08,5.811687131540566e-09,41.4360237121582,True
B1,171,0.0332518145442009,0.0,22.064674377441406,1.107470989227295,1.8033800870398409e-06,2.013513494603103e-06,22.950931549072266,True
B1,176,0.04398709163069725,0.0,16.109352111816406,0.021462511271238327,0.0011987816542387009,0.0007719064014963806,16.561925888061523,True
B1,181,0.042009029537439346,0.0,33.57364273071289,0.050451312214136124,2.408724064650869e-08,6.094421678426443e-08,34.018959045410156,True
B1,186,0.03907709941267967,0.0,48.270687103271484,0.8357563018798828,1.1608151773145892e-08,5.0407599871959974e-08,49.0793342590332,True
B1,191,0.03365215286612511,0.0,19.719074249267578,1.4762768745422363,2.1504902179003693e-06,1.961929228855297e-05,20.79375457763672,True
B1,196,0.036875009536743164,0.0,14.998568534851074,0.8378710150718689,0.000719049945473671,0.0003729594754986465,15.787346839904785,True
B1,201,0.039384856820106506,0.0,39.40145492553711,0.04312986508011818,4.865571057166562e-09,3.063584586016077e-08,39.81686782836914,True
B1,206,0.034520648419857025,0.0,42.42220687866211,0.08857263624668121,1.1057577076201142e-09,1.8660049505569987e-08,42.81169891357422,True
B1,211,0.03267119452357292,0.0,14.366556167602539,0.7372943758964539,2.1766825284430524e-06,8.209151474147802e-07,15.061918258666992,True
