mode_index,singular_value,energy_fraction,cumulative_energy_fraction,selected,selected_rank,train_sample_count
146,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
147,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
148,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
149,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
150,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
151,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
152,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
153,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
154,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
155,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
156,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
157,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
158,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
159,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
160,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
161,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
162,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
163,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
164,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
165,3.192073834053054e-14,9.796938678003408e-33,1.0000000000000002,False,2,174
166,2.789486387669417e-14,7.481574865887818e-33,1.0000000000000002,False,2,174
167,2.603786444328333e-14,6.51861387328887e-33,1.0000000000000002,False,2,174
168,2.34248480720135e-14,5.275918752474544e-33,1.0000000000000002,False,2,174
169,2.302055029290511e-14,5.0953724572900265e-33,1.0000000000000002,False,2,174
170,1.8915901121493922e-14,3.4403181258917856e-33,1.0000000000000002,False,2,174
171,1.6830312320129288e-14,2.7235094326544362e-33,1.0000000000000002,False,2,174
172,1.2845080314157173e-14,1.5864200181129872e-33,1.0000000000000002,False,2,174
173,1.0175726918393033e-14,9.955782959361642e-34,1.0000000000000002,False,2,174
174,7.633988821049828e-15,5.60334770406839e-34,1.0000000000000002,False,2,174
