seed,mode,sample_id,context_id,protocol_id,branch_label,device_voltage_V,split,full_curve_test,headline_test,event_neighborhood,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,mean_state_absolute_error,predicted_mean_state,reference_mean_state,hotspot_coordinate_error,true_fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,projection_count,main_linear_solve_count,diagnostic_projection_count,diagnostic_linear_solve_count,diagnostic_included_in_timing,finite,practical_complete_case_pass
0,R1,G1_cooling_event_refine_03,G1,G1_cooling,cooling,1.065625,test_headline,False,True,True,0.3859451109248363,0.051615921869775164,0.21878051639730572,0.3287042604660809,0.0023993338624744218,0.0035741830629526716,0.12719435054254036,0.8572860000250458,0.9844803505675862,0.0,0.12933892095050556,0.06421150101789644,2.374669728984029e-15,4.9359206509596586e-14,1,2,1,2,False,True,False
0,R2,G1_cooling_event_refine_03,G1,G1_cooling,cooling,1.065625,test_headline,False,True,True,0.34378083503856754,0.051782016676639134,0.19778142585760333,0.30430892294664125,0.0024865272646514168,0.0035741830629526716,0.15662500606870444,0.8278553444988818,0.9844803505675862,0.0,0.09176007190792734,0.03460643227791652,8.183567002895465e-16,4.7464688616793734e-14,2,4,1,2,False,True,False
20260809,H0,G1_cooling_event_refine_03,G1,G1_cooling,cooling,1.065625,test_headline,False,True,True,0.9850523969103105,0.026067356610038547,0.5055598767601746,0.9889795034983666,3.938927194146688e-05,0.0035741830629526716,0.8664855672811349,0.11799478328645134,0.9844803505675862,0.0,0.202315849295772,0.015890701426296536,1.1300716405668608e-15,0.07476000611454914,0,1,1,2,False,True,False
20260809,H1,G1_cooling_event_refine_03,G1,G1_cooling,cooling,1.065625,test_headline,False,True,True,0.9864339720108157,0.026067356610038547,0.5062506643104271,0.9889795034983666,3.938927194146688e-05,0.0035741830629526716,0.8673569992029123,0.11712335136467389,0.9844803505675862,0.0,0.149336144515272,0.010553137143253056,1.1300716405668608e-15,2.8498792387038276e-12,1,2,1,2,False,True,False
20260809,H2,G1_cooling_event_refine_03,G1,G1_cooling,cooling,1.065625,test_headline,False,True,True,0.9873758048693487,0.02574969988505195,0.5065627523772004,0.9890434454114746,3.916073183862375e-05,0.0035741830629526716,0.8679258118132915,0.11655453875429464,0.9844803505675862,0.0,0.10655796910935762,0.007022789758913085,1.9485714566049917e-15,2.730598134522461e-12,2,4,1,2,False,True,False
20260809,S1,G1_cooling_event_refine_03,G1,G1_cooling,cooling,1.065625,test_headline,False,True,True,0.34777614537485985,0.0849020577751149,0.21633910157498737,0.32927214246351283,0.002397304148257445,0.0035741830629526716,0.20612068875740086,0.7783596618101853,0.9844803505675862,0.0,0.06754055285905461,0.024371418601067386,4.24407192754251e-15,4.991028586790012e-14,1,2,1,2,False,True,False
20260809,S2,G1_cooling_event_refine_03,G1,G1_cooling,cooling,1.065625,test_headline,False,True,True,0.3466867913877446,0.07337929335326222,0.2100330423705034,0.32943879493979455,0.0023967085017993195,0.0035741830629526716,0.2274449003679645,0.7570354501996217,0.9844803505675862,0.0,0.0440103219210836,0.01384690864197412,1.1886354741652717e-15,4.873405444077613e-14,2,4,1,2,False,True,False
20260809,G1,G1_cooling_event_refine_03,G1,G1_cooling,cooling,1.065625,test_headline,False,True,True,0.45787865627361607,0.06027257889200583,0.25907561758281095,0.42930220580802925,0.0020397783900653913,0.0035741830629526716,0.18696175489107336,0.7975185956765128,0.9844803505675862,0.0,0.14846642567386534,0.07191573222109854,9.975918253624068e-16,5.6663215680584776e-14,1,2,1,2,False,True,False
20260809,G2,G1_cooling_event_refine_03,G1,G1_cooling,cooling,1.065625,test_headline,False,True,True,0.41086845739365324,0.05485747762271869,0.23286296750818597,0.3735023409459356,0.0022392173219705344,0.0035741830629526716,0.21158680863224333,0.7728935419353429,0.9844803505675862,0.0,0.11032874616512194,0.028870341398665803,1.8174799091759635e-15,5.197992540243265e-14,2,4,1,2,False,True,False
0,A1,G1_heating_coarse_000,G1,G1_heating,heating,0.75,test_headline,True,True,False,0.6510026607326101,8.507648758486651e-05,0.3255438686100975,0.0027971708491435054,1.4974302978130671e-05,1.501630615196075e-05,5.065575252185617e-05,0.003147338419767762,0.0031979941722896183,0.0,0.39430666715907603,0.0006492170091632546,1.9609466217581953e-15,1.0609626275998799e-11,1,2,1,2,False,True,False
