split,case_id,mode,temperature_rise_relative_l2,potential_relative_l2,joint_field_score,terminal_current_relative_error,predicted_terminal_current_A,reference_terminal_current_A,hotspot_coordinate_error_width_fraction,fixed_point_defect,sigma_defect,terminal_electrical_heat_ledger_error,electrical_heat_sink_ledger_error,energy_ledger_error,projection_count,additional_iterations,total_nonlinear_iterations,electrical_linear_solve_count,thermal_linear_solve_count,linear_solve_count,factorization_count,converged,scaled_nonlinear_residual,finite,fast_case_pass,certified_case_pass,median_wall_time_s,timing_repeats,speedup_vs_cold
validation,cooling_near-transition_nominal,N2,0.0010757876421071634,6.104705776550271e-05,0.000568417349936333,0.0010008741562539194,0.0006278573770380317,0.0006272295991422127,0.5882176467941096,0.016569012004851842,0.001040235722135824,1.0511131550015397e-15,2.853021420718383e-14,2.853021420718383e-14,2,0,2,2,2,4,4,False,0.016569012004851842,True,False,False,0.013831749995006248,20,15.930822208107843
validation,cooling_near-transition_nominal,NC,4.440129904244553e-05,6.542798415310871e-08,2.2233363513299318e-05,2.597000454568143e-06,0.0006272312280577668,0.0006272295991422127,0.5882176467941096,4.1614710360285695e-05,2.6093472890752115e-06,1.954015986979286e-15,3.8949349430428605e-05,3.8949349430428605e-05,2,8,10,11,10,21,21,False,5.5658415364090265e-05,True,False,False,0.06422755001403857,10,3.4307886561028362
test,heating_near-transition_localized-sink,COLD,2.2622759231338027e-13,1.7066257959077579e-15,1.13967109054644e-13,1.480186700831785e-15,0.00029299065364558126,0.0002929906536455817,0.0,1.6219220086278463e-08,6.024127059219578e-10,2.735127599363085e-15,1.3696450843134978e-08,1.3696450843134978e-08,0,39,39,40,39,79,79,True,8.104292761688643e-08,True,False,False,0.25203205000434536,10,1.0
test,heating_near-transition_localized-sink,A2,0.00013908636499411717,3.5138505279269286e-05,8.711243513669323e-05,0.00010064829417153756,0.00029302014265507933,0.0002929906536455817,0.0,0.006584885473886969,0.0002466771864808139,3.378347009643684e-15,1.0279827329343297e-13,1.0279827329343297e-13,2,0,2,2,2,4,4,False,0.006584885473886969,True,False,False,0.012776100003975444,20,19.726837605053376
test,heating_near-transition_localized-sink,N0,0.20762576657296872,0.0007871022184278235,0.10420643439569827,0.0062433668378161595,0.0002948199017763426,0.0002929906536455817,0.0,0.2017558222989623,0.007565066211193333,7.994579844619005e-16,0.19362405769668165,0.19362405769668165,0,0,0,1,0,1,1,False,0.2017558222989623,True,False,False,0.004076500001247041,20,61.82559792156171
test,heating_near-transition_localized-sink,N1,0.00699734689639475,0.0007871022184278235,0.0038922245574112865,0.0062433668378161595,0.0002948199017763426,0.0002929906536455817,0.0,0.006821626898567967,0.00025560136881610336,7.994579844619005e-16,8.218428080267662e-14,8.218428080267662e-14,1,0,1,1,1,2,2,False,0.006821626898567967,True,False,False,0.006189049992826767,20,40.72225144351
test,heating_near-transition_localized-sink,N2,0.00019633077315029025,2.6162523407249648e-05,0.00011124664827876995,0.00022297097564733567,0.0002930559820574806,0.0002929906536455817,0.0,0.006821626898567967,0.00025560136881610336,6.434159720572177e-16,9.039994407403096e-14,9.039994407403096e-14,2,0,2,2,2,4,4,False,0.006821626898567967,True,True,False,0.012231699991389178,20,20.604825999801324
test,heating_near-transition_localized-sink,NC,7.256049836120174e-06,3.1461486001322954e-09,3.629597992360153e-06,2.671233002531139e-07,0.00029299073191021204,0.0002929906536455817,0.0,7.009720906032841e-06,2.6226349239246497e-07,1.448008342277803e-15,7.895493044029267e-06,7.895493044029267e-06,2,8,10,11,10,21,21,False,1.9190469542757585e-05,True,False,False,0.06953775000874884,10,3.624391786801214
test,cooling_high_nominal,COLD,1.2183613987107182e-14,1.8272802767524335e-15,7.005447131929808e-15,0.0,0.0042776020902343505,0.0042776020902343505,0.2,6.593618213088391e-09,3.1540883571174795e-10,1.6221457156448783e-15,6.461104254871739e-09,6.461104254871739e-09,0,38,38,39,38,77,77,True,1.5389017201996442e-08,True,False,False,0.20715955000196118,10,1.0
test,cooling_high_nominal,A2,7.671125617654024e-05,7.928123378019343e-06,4.2319689777279795e-05,7.422204650835158e-05,0.004277284597853065,0.0042776020902343505,0.2,0.0016243145093453196,7.817986462013777e-05,1.351888436297125e-15,3.379721090742805e-15,3.379721090742805e-15,2,0,2,2,2,4,4,False,0.0016243145093453196,True,False,False,0.01501674999599345,20,13.795231994754689
test,cooling_high_nominal,N0,0.5064558216395049,0.0015810795939475378,0.2540184506167262,0.020012656030120056,0.004363208269499933,0.0042776020902343505,0.5599999999999999,0.4781174813133275,0.02177222908904694,7.951596022142778e-16,0.30166711685833547,0.30166711685833547,0,0,0,1,0,1,1,False,0.4781174813133275,True,False,False,0.005182100008823909,20,39.975984571740554
test,cooling_high_nominal,N1,0.020965301960929352,0.0015810795939475378,0.011273190777438446,0.020012656030120056,0.004363208269499933,0.0042776020902343505,0.5882176467941096,0.02001413251593353,0.0009581285981328165,7.951596022142778e-16,3.710744810333284e-15,3.710744810333284e-15,1,0,1,1,1,2,2,False,0.02001413251593353,True,False,False,0.00652714999159798,20,31.73813230408763
test,cooling_high_nominal,N2,0.0009661887899062304,4.3169056505482455e-05,0.0005046789232058564,0.0009290978157592133,0.004281576400993074,0.0042776020902343505,0.5882176467941096,0.02001413251593353,0.0009581285981328165,1.8907466463397564e-15,3.106226633272453e-15,3.106226633272453e-15,2,0,2,2,2,4,4,False,0.02001413251593353,True,False,False,0.013633549999212846,20,15.194835535419744
test,cooling_high_nominal,NC,3.740761105230481e-05,3.4155510152848995e-08,1.872088328122883e-05,1.680316062559509e-06,0.004277609277957852,0.0042776020902343505,0.5882176467941096,3.568459433122062e-05,1.7094663850813794e-06,5.407143299773186e-16,3.440815511396511e-05,3.440815511396511e-05,2,8,10,11,10,21,21,False,5.2073655854775865e-05,True,False,False,0.07227795000653714,10,2.8661514332272118
