comparator_depth_m,depth_m,formal_case,frequency_state_space_relative_error,grid_level,impulse_integral_relative_error,impulse_step_derivative_relative_error,maximum_pole_real_per_s,minimum_capacity_J_m2K,minimum_conductance_matrix_eigenvalue_W_m2K,minimum_physical_conductance_W_m2K,minimum_real_admittance_relative_margin,passed,physical_depth_m,region,step_DC_relative_error,step_initial_relative_error,voting
2.56e-05,1.28e-05,False,1.8540966776647061e-13,coarse,5.125909479128182e-16,9.212586354573425e-14,-10223540.980104577,0.11363327870304128,1225697885.1961741,3.814697265625e-06,0.5521299829498603,True,2.56e-05,electrode_covered_vo2,0.0,5.125794012091177e-16,False
2.56e-05,1.28e-05,False,2.3275676828021168e-12,fine,4.954990020127436e-15,2.587064167934715e-13,-10254643.492706899,0.05681663935152064,614091310.9428887,7.62939453125e-06,0.5521816404875303,True,2.56e-05,electrode_covered_vo2,0.0,4.954934211688138e-15,False
5.12e-05,2.56e-05,False,5.902597475811628e-13,coarse,1.3888969547514501e-15,1.095152713912796e-12,-40865482.449120976,0.07258278658192466,2451395770.4306602,7.62939453125e-06,0.6876428225290331,True,2.56e-05,bare_vo2,0.0,1.3888460918258612e-15,False
5.12e-05,2.56e-05,False,6.514924331011329e-13,fine,8.333229136937899e-16,8.36427005002562e-13,-40989805.24347836,0.03629139329096233,1228182621.9049902,1.52587890625e-05,0.6873240455763315,True,2.56e-05,bare_vo2,0.0,8.333076550955167e-16,False
5.12e-05,2.56e-05,False,6.504963205029142e-13,coarse,1.388871522822983e-15,6.996865192364353e-14,-10215898.630801747,0.07258278658192466,1231713825.1782737,1.9073486328125e-06,0.6887927949516284,True,5.12e-05,bare_vo2,0.0,1.3888460918258612e-15,False
5.12e-05,2.56e-05,False,8.802649529597572e-13,fine,1.1110870457664056e-15,4.3438578931836194e-12,-10247329.400076045,0.03629139329096233,617117261.2259538,3.814697265625e-06,0.6883936455510681,True,5.12e-05,bare_vo2,0.0,1.1110768734606889e-15,False
5.12e-05,2.56e-05,False,5.591310987420694e-13,coarse,6.834545972064123e-16,1.098774558002096e-12,-40865482.449120976,0.056856516155840975,2451395770.4306602,7.62939453125e-06,0.6156117478594308,True,2.56e-05,electrode_covered_vo2,0.0,6.834392016014783e-16,False
5.12e-05,2.56e-05,False,1.827668822763084e-12,fine,1.3668937986344862e-15,8.307225227004983e-13,-40989805.24347836,0.028428258077920487,1228182621.9049902,1.52587890625e-05,0.6156599271073352,True,2.56e-05,electrode_covered_vo2,0.0,1.3668784032029566e-15,False
5.12e-05,2.56e-05,False,5.415373091874817e-13,coarse,8.543086241465544e-16,2.814232437465362e-14,-10215898.630801747,0.056856516155840975,1231713825.1782737,7.62939453125e-06,0.6156104596996375,True,5.12e-05,electrode_covered_vo2,0.0,8.542990020018478e-16,False
5.12e-05,2.56e-05,False,1.4101766101846821e-12,fine,1.0251645756565283e-15,4.353963076497431e-12,-10247329.400076045,0.028428258077920487,617117261.2259538,3.814697265625e-06,0.6156596025588429,True,5.12e-05,electrode_covered_vo2,0.0,1.0251588024022174e-15,False
0.0001024,5.12e-05,False,1.381564871707017e-12,coarse,1.6666458273913e-15,8.525893835690197e-12,-40849254.44966877,0.036304133333646016,2463427650.350994,7.62939453125e-06,0.6876482174630724,True,5.12e-05,bare_vo2,0.0,1.6666153101947531e-15,False
0.0001024,5.12e-05,False,1.735594019207317e-12,fine,6.944294036055534e-16,5.6610599638689634e-12,-40974933.40734406,0.018152066666823008,1234234522.4490623,7.62939453125e-06,0.6873267733533535,True,5.12e-05,bare_vo2,0.0,6.944230459144805e-16,False
0.0001024,5.12e-05,False,3.3584160166628943e-13,coarse,6.944294036055533e-16,6.488924386773107e-12,-10211899.048027676,0.036304133333646016,1237197448.5705402,3.814697265625e-06,0.6887902326150959,True,0.0001024,bare_vo2,0.0,6.944230459144805e-16,False
0.0001024,5.12e-05,False,8.429726531191906e-13,fine,6.944262247454651e-16,2.2930600018236314e-11,-10243626.330631297,0.018152066666823008,619875817.6752948,3.814697265625e-06,0.6883877030366828,True,0.0001024,bare_vo2,0.0,6.944230459144805e-16,False
0.0001024,5.12e-05,False,5.483926515475525e-13,coarse,6.834468993187687e-16,8.526320827700937e-12,-40849254.44966877,0.028438237778022714,2463427650.350994,7.62939453125e-06,0.6585856161857572,True,5.12e-05,electrode_covered_vo2,0.0,6.834392016030037e-16,False
0.0001024,5.12e-05,False,4.509963774130145e-12,fine,1.7086076260980275e-15,5.591114391116108e-12,-40974933.40734406,0.014219118889011357,1234234522.4490623,7.62939453125e-06,0.658615066531241,True,5.12e-05,electrode_covered_vo2,0.0,1.7085980040075092e-15,False
