load_resistance_ohm,branch,source_voltage_V,temperature_K,device_voltage_V,current_A,conductive_state,stability_classification,robust_stability_margin,reachable,reachability_status,target_grid_point,diagnostic_only,voting_eligible,load_scope
6000.0,cooling,14.0,337.9275498205255,1.253562110156369,0.0021244063149739385,0.9880425259061527,stable,0.08742004826136583,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
6000.0,cooling,13.5,337.7080518494123,1.2859952494414557,0.002035667458426424,0.9866566402922952,unstable,-0.07143059338877479,False,continuous_component_terminated_at_nonstable_point,True,False,False,load_design_sentinel
6000.0,cooling,13.0,337.4869645856185,1.3215724614342674,0.0019464045897609552,0.9851007505317816,unstable,-0.22328680606453596,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,12.5,337.2630754211022,1.3606913802136293,0.001856551436631062,0.9833432902503576,unstable,-0.3675775003571251,False,post_switch_reachability_unresolved,True,True,False,load_design_sentinel
6000.0,cooling,12.0,337.0350584288708,1.4038420629926296,0.0017660263228345616,0.9813442437595019,unstable,-0.503701104300865,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,11.5,336.801419193269,1.4516345109891304,0.0016747275815018118,0.9790521134496711,unstable,-0.631004602457044,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,11.0,336.56042052220374,1.5048378963356266,0.0015825270172773957,0.9763994505957896,unstable,-0.7487558880235847,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,10.5,336.3099775894817,1.5644379398251096,0.0014892603433624817,0.9732960721896978,unstable,-0.8561053049940419,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,10.0,336.04750290175656,1.6317235247935995,0.0013947127458677335,0.9696184011272235,unstable,-0.9520293483687784,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,9.5,335.76966562594026,1.7084225661118357,0.0012985962389813607,0.9651920002306476,unstable,-1.0352438356186318,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,9.0,335.4719969253194,1.796925491166521,0.0012005124181389132,0.9597614566254193,unstable,-1.104062150181578,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,8.5,335.1481990530937,1.9006754225147697,0.0010998874295808717,0.9529350291615137,unstable,-1.1561478875328537,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,8.0,334.78883199944227,2.0249041418986007,0.0009958493096835666,0.9440741492669547,unstable,-1.188046000902668,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,7.5,334.37852720564206,2.178172918598715,0.0008869711802335474,0.9320467981618166,unstable,-1.194191215789093,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,7.0,333.88907168523383,2.3761194916491224,0.0007706467513918128,0.9145811401763304,unstable,-1.1644567661361596,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,6.5,333.25736871877314,2.653014017253046,0.0006411643304578257,0.8860746276813845,unstable,-1.134844767906945,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,6.0,332.27021760873913,3.118368220390604,0.0004802719632682327,0.8251676567746034,unstable,-1.371643057973377,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,5.5,329.33680279897123,4.233985087685033,0.0002110024853858279,0.5168564136326055,stable,0.01707836789125279,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,5.0,327.8298089151594,4.159022658333215,0.00014016289027779763,0.33290224880703667,stable,0.3620131360461847,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,4.5,327.07192167275235,3.83164623493311,0.00011139229417781505,0.2537750912874447,stable,0.48033686976581613,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,4.0,326.5380620476305,3.4487771771838225,9.18704704693629e-05,0.206081088618976,stable,0.37378165143929776,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,3.5,326.12775926824025,3.041738961421795,7.63768397630341e-05,0.17417464550864992,stable,0.3439699854763516,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,3.0,325.80283671160686,2.6214694933228975,6.308841777951708e-05,0.1517764349141859,stable,0.3308422975935974,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,2.5,325.5445790605653,2.1930802092830084,5.1153298452831936e-05,0.13570696322288156,stable,0.32355686774138065,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,2.0,325.3424898742266,1.7593961518574706,4.010064135708824e-05,0.12415361095446009,stable,0.3190981219665653,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,1.5,325.19022266890744,1.3221754811510131,2.9637419808164503e-05,0.11601523295954919,stable,0.3162702183702034,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,1.0,325.0838173996028,0.8826247431764315,1.9562542803928097e-05,0.1106066491573312,stable,0.314513890387341,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,0.5,325.0208495322874,0.441650666820546,9.724888863242337e-06,0.1075109888763438,stable,0.3135486715540861,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
6000.0,cooling,0.0,325.0,0.0,0.0,0.10650288801986507,stable,0.313240291561053,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,0.0,325.0,0.0,0.0,0.003120523811974585,stable,0.21722449385200834,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,0.5,325.01726285512774,0.42462722179882356,8.374753133464052e-06,0.0031478148196604216,stable,0.21732655777322296,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,1.0,325.06917857249425,0.8489167903607316,1.6787023293252046e-05,0.0032313308292335474,stable,0.21763572227020184,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,1.5,325.1561318536097,1.2725242036572793,2.527508848252452e-05,0.0033761874425835003,stable,0.21816115422731355,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,2.0,325.2787749450781,1.6950908227168997,3.387879747590004e-05,0.003591566182322814,stable,0.21891900760842253,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,2.5,325.4380452174142,2.1162356301342515,4.264048554063869e-05,0.003891823223908908,stable,0.21993391711206478,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,3.0,325.63519192608646,2.535545348613805,5.160607237624395e-05,0.004298326678979225,stable,0.2212415144679749,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,3.5,325.8718149220582,2.952561904645278,6.082645503941354e-05,0.00484240000742997,stable,0.22289258143271382,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,4.0,326.1499200347101,3.3667656184026264,7.03593757330415e-05,0.005570028760158663,stable,0.22496002170818233,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,4.5,326.47199935332367,3.7775513735838584,8.027206960179349e-05,0.006549488280456872,stable,0.22755102530609983,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,5.0,326.84115127549796,4.184192843835506,9.064523957383268e-05,0.00788398585846406,stable,0.2308294924180543,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,5.5,327.26126848835327,4.585785451133398,0.00010157939431851135,0.009733243710491557,stable,0.23506043291752812,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,6.0,327.7373502666865,4.981149314302999,0.00011320563174411127,0.01235173894257613,stable,0.2407064006983774,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,6.5,328.27605957582585,5.3686518228389675,0.00012570535301789258,0.016159703878239395,stable,0.2486648451543101,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,7.0,328.886804135793,5.745855100455,0.0001393494332827778,0.021883280563305907,stable,0.26097065763337246,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,7.5,329.5840613946276,6.108739106887493,0.00015458454367916745,0.030855642723176313,stable,0.2836625045470291,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,8.0,330.3931127745308,6.449728335146584,0.0001722524072059352,0.04575087156698787,stable,0.3571118016512675,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,8.5,331.367493237261,6.751433096870312,0.00019428521145885424,0.07278487566624436,stable,0.3495660415697871,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,9.0,332.6685572944102,6.9561137547278715,0.00022709847169690326,0.13166245710218905,stable,0.1867972524407065,True,continuous_quasistatic_reachable,True,False,True,load_design_sentinel
9000.0,heating,9.5,336.5110249042458,5.8550157589502,0.0004049982490055333,0.5144833475018464,unstable,-2.1366333578775665,False,continuous_component_terminated_at_nonstable_point,True,False,False,load_design_sentinel
9000.0,heating,10.0,338.37089742302777,4.541353973410292,0.000606516225176634,0.7308707916999346,unstable,-3.7936903628868572,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,10.5,339.06702233314905,4.032526963607916,0.0007186081151546761,0.7943395163110372,unstable,-4.24753355247668,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,11.0,339.55283267989165,3.691949057277189,0.0008120056603025346,0.8316132869727841,unstable,-4.459050516920195,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,11.5,339.9393904304104,3.4337810677703473,0.000896246548025517,0.8572582984834445,unstable,-4.5461561583395875,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,12.0,340.2665109932628,3.225853533338475,0.0009749051629623916,0.876340789268746,unstable,-4.5502106304620416,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,12.5,340.553520814454,3.0521456552865933,0.0010497615938570453,0.8912382940376582,unstable,-4.489393613769757,False,post_switch_reachability_unresolved,True,True,False,load_design_sentinel
9000.0,heating,13.0,340.81142530252146,2.9033880541369257,0.0011218457717625638,0.9032572674951702,unstable,-4.371167035302358,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,13.5,341.04715649207253,2.7736861462282043,0.0011918126504190884,0.9131907961695365,unstable,-4.195468890518896,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,14.0,341.26539796469575,2.6590378746810326,0.0012601069028132185,0.9215548302449538,unstable,-3.95297116905855,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,14.5,341.46948277814386,2.5565919707187708,0.0013270453365868034,0.9287026389648312,unstable,-3.6127260764421028,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,15.0,341.66188014240157,2.4642404529219792,0.0013928621718975577,0.934885837781777,unstable,-3.0107577551334055,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,15.5,341.84447914145454,2.380378442409233,0.0014577357286211963,0.9402893609470955,unstable,-2.5780529961132226,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,15.8,341.94996586179434,2.33360410209323,0.00149626621087853,0.9432166967720401,unstable,-2.5541074269638995,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,16.0,342.0187638606733,2.3037545872468446,0.0015218050458614618,0.9450526669960906,unstable,-2.536736455971149,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,16.5,342.1859265855601,2.233373693640955,0.0015851807007065603,0.9492831949673872,unstable,-2.488662073824223,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,heating,17.0,342.346943813456,2.1684309867258458,0.0016479521125860174,0.9530652294037355,unstable,-2.434360437010069,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,17.0,336.94573435991066,1.421680390323875,0.001730924401075125,0.980498516367723,unstable,-0.5999910187615017,False,ambiguous_or_missing_high_stable_endpoint,True,False,False,load_design_sentinel
9000.0,cooling,16.5,336.7940223241905,1.453207917631266,0.0016718657869298592,0.9789752139783796,unstable,-0.6809520324215634,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,16.0,336.63957766578335,1.4869190848233813,0.0016125645461307356,0.9773050255363418,unstable,-0.7577543539643588,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,15.8,336.5769292808807,1.5010646890871735,0.0015887705901014254,0.9765911793209174,unstable,-0.7872645525280427,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
9000.0,cooling,15.5,336.4819220151061,1.5230411448289356,0.0015529954283523405,0.975466625689816,unstable,-0.8301883967744821,False,post_switch_reachability_unresolved,True,False,False,load_design_sentinel
