alpha,finite,range,original_residual_inf,original_merit_l2,fp_defect_inf,raw_thermal_residual_inf_W_per_cell,temperature_min_K,temperature_max_K,correction,exponent
0.00048828125,True,True,0.009515161563070383,0.004054743075564421,0.0006063165805422995,4.385924503655343e-06,337.14967217461873,339.45918736505973,v1_last_failed_lgmres,11
0.000244140625,True,True,0.009517330971723775,0.004056641010560005,0.0006064682009920119,4.387019273615497e-06,337.14925930540016,339.4592677119699,v1_last_failed_lgmres,12
0.0001220703125,True,True,0.009518454377418429,0.004057610929798789,0.0006065439379081605,4.387566905881738e-06,337.1490528707909,339.459307885425,v1_last_failed_lgmres,13
6.103515625e-05,True,True,0.00951902575667901,0.004058101131242757,0.0006065817881698672,4.387840784340302e-06,337.1489496534862,339.45932797215255,v1_last_failed_lgmres,14
3.0517578125e-05,True,True,0.009519313865518892,0.004058347542902435,0.0006066007087680189,4.38797773921506e-06,337.1488980448339,339.4593380155163,v1_last_failed_lgmres,15
1.52587890625e-05,True,True,0.009519458524763533,0.004058471076527379,0.0006066101679358661,4.3880462205736545e-06,337.1488722405078,339.4593430371982,v1_last_failed_lgmres,16
7.62939453125e-06,True,True,0.00951953100558588,0.004058532925295539,0.0006066148972374431,4.388080462232091e-06,337.14885933834466,339.45934554803915,v1_last_failed_lgmres,17
3.814697265625e-06,True,True,0.009519567283793946,0.0040585638701692295,0.0006066172618172891,4.388097583303977e-06,337.14885288726316,339.4593468034596,v1_last_failed_lgmres,18
1.9073486328125e-06,True,True,0.009519585432354278,0.004058579347729794,0.0006066184440900416,4.388106143905429e-06,337.14884966172235,339.4593474311699,v1_last_failed_lgmres,19
9.5367431640625e-07,True,True,0.009519594508995158,0.004058587087789205,0.0006066190352216439,4.388110424217703e-06,337.148848048952,339.45934774502496,v1_last_failed_lgmres,20
1.0,True,True,0.13056784145035938,0.5588740262546501,0.0058264408685168925,4.146506476367207e-05,338.46971377652255,339.1377367288058,fixed_point_svd_direct,0
0.5,True,True,0.06952353237929881,0.14931664143309292,0.0031362377654449987,2.233004275481111e-05,337.8908689654304,339.2985333015564,fixed_point_svd_direct,1
0.25,True,True,0.03870922224466058,0.0443720342823,0.0017501987475751757,1.2502909056653487e-05,337.5627924377273,339.37893158793173,fixed_point_svd_direct,2
0.125,True,True,0.025859146042800093,0.020275891538257644,0.0011669416530981783,8.375695880807405e-06,337.35581978960795,339.41913073111937,fixed_point_svd_direct,3
0.0625,True,True,0.019097462430386413,0.01211347392179224,0.000859915364526199,6.194225439198703e-06,337.2523334655483,339.4392304558142,fixed_point_svd_direct,4
0.03125,True,True,0.01417791882369497,0.007460596641405963,0.0007461495896680286,5.402333228382518e-06,337.2005902218648,339.4492862313021,fixed_point_svd_direct,5
0.015625,True,True,0.010954872538415716,0.004969854406906792,0.0006526542741230017,4.720379580762248e-06,337.1747183290232,339.4543171450911,fixed_point_svd_direct,6
0.0078125,True,True,0.009803710056801614,0.004222039523302872,0.000614770532743265,4.446765858968683e-06,337.1617823826024,339.4568326019856,fixed_point_svd_direct,7
0.00390625,True,True,0.009541022716894072,0.004066129981593777,0.0006063546426576599,4.386185368272595e-06,337.155314409392,339.45809033043287,fixed_point_svd_direct,8
0.001953125,True,True,0.009506699240798243,0.004046877368940089,0.0006055678683914625,4.380539640219225e-06,337.1520804227868,339.45871919465645,fixed_point_svd_direct,9
0.0009765625,True,True,0.009511350524843273,0.0040512928701240255,0.0006060257257108332,4.383831419167353e-06,337.1504634294842,339.4590336267683,fixed_point_svd_direct,10
0.00048828125,True,True,0.009515279420461133,0.004054836948973743,0.0006063230536129624,4.385971809252166e-06,337.1496549328329,339.45919084282417,fixed_point_svd_direct,11
0.000244140625,True,True,0.009517392083086468,0.004056689130010199,0.0006064714332676588,4.387042939341274e-06,337.14925068450725,339.45926945085216,fixed_point_svd_direct,12
0.0001220703125,True,True,0.00951848547885367,0.004057635285504922,0.0006065455529903989,4.387578742008857e-06,337.1490485603444,339.45930875486613,fixed_point_svd_direct,13
6.103515625e-05,True,True,0.009519041443843376,0.004058113383127626,0.0006065825954483251,4.387846703227365e-06,337.148947498263,339.4593284068731,fixed_point_svd_direct,14
3.0517578125e-05,True,True,0.009519321743213691,0.004058353687357795,0.0006066011123415827,4.387980698862117e-06,337.1488969672223,339.4593382328766,fixed_point_svd_direct,15
1.52587890625e-05,True,True,0.009519462472135004,0.004058474153383652,0.0006066103697063154,4.388047700446096e-06,337.148871701702,339.45934314587834,fixed_point_svd_direct,16
