gamma_sub,T_sw_offset_K,objective,G_loss,I_loss,finite_result,is_true_pair
425000000.0,0.0,5.098387239050622e-05,2.8460245354268998e-05,4.504725407247444e-05,True,False
425000000.0,0.5,0.032808316712568654,0.020374058708802142,0.024868516007533027,True,False
425000000.0,1.0,0.09291949265309858,0.05824461218070351,0.06934976094479015,True,False
425000000.0,2.0,0.2128275446135116,0.13541136075283117,0.15483236772136091,True,False
450000000.0,-2.0,67.80977246907946,31.5962502890637,72.42704436003152,True,False
450000000.0,-1.0,0.7189821340151907,0.39455093797397184,0.6488623920824378,True,False
450000000.0,-0.5,0.07549386088433468,0.04389503276660001,0.06319765623546936,True,False
450000000.0,0.0,0.0002443675483479658,0.00015227162590481847,0.00018419184488629463,True,True
450000000.0,0.5,0.037280429595027705,0.023022166425313174,0.02851652633942906,True,False
450000000.0,1.0,0.09806655290684049,0.06135285611713095,0.0734273935794191,True,False
450000000.0,2.0,0.21686623123460658,0.1379022098536357,0.15792804276194175,True,False
475000000.0,-2.0,56.22015800934188,26.28645744530555,59.86740112807266,True,False
475000000.0,-1.0,0.6034745125212755,0.3351846532382688,0.5365797185660135,True,False
475000000.0,-0.5,0.059507214501711744,0.035100577787184485,0.04881327342905451,True,False
475000000.0,0.0,0.0010815963136230902,0.0006302140431540403,0.0009027645409380998,True,False
475000000.0,0.5,0.04164907316059529,0.025605365493417496,0.032087415334355586,True,False
475000000.0,1.0,0.10262662409229995,0.06409441185868703,0.07706442446722583,True,False
475000000.0,2.0,0.2208045887471597,0.14033496864309866,0.1609392402081221,True,False
500000000.0,-2.0,46.51678281253268,21.84026288476734,49.353039855530675,True,False
500000000.0,-1.0,0.510365530852248,0.28688679198832395,0.44695747772784816,True,False
500000000.0,-0.5,0.04635288122935648,0.02778307255384239,0.03713961735102818,True,False
500000000.0,0.0,0.002459770428852195,0.001408757333440688,0.002102026190823014,True,False
500000000.0,0.5,0.04606050514944404,0.028216503979657564,0.035688002339572956,True,False
500000000.0,1.0,0.10736237997996984,0.0669550512644656,0.08081465743100846,True,False
500000000.0,2.0,0.2246454056821348,0.1427110621242945,0.16386868711568064,True,False
550000000.0,-2.0,31.71754567895019,15.051666966722955,33.33175742445447,True,False
550000000.0,-1.0,0.3660381625388287,0.21086938162449542,0.3103375618286665,True,False
550000000.0,-0.5,0.02687868169444833,0.016754531397440695,0.02024830059401527,True,False
550000000.0,0.0,0.006503179858762418,0.0036915043397429265,0.005623351038038983,True,False
550000000.0,0.5,0.054810506810811024,0.03340181767984895,0.042817378261924145,True,False
550000000.0,1.0,0.11661343983417406,0.07255771014396414,0.08811145938041984,True,False
550000000.0,2.0,0.23204677468733614,0.14730019279553944,0.16949316378359341,True,False
650000000.0,-2.0,14.684503865144148,7.1936436243205515,14.981720481647192,True,False
650000000.0,-1.0,0.1895060689745886,0.11504263471794812,0.14892686851328096,True,False
650000000.0,-0.5,0.006947263158975717,0.004933103964408799,0.004028318389133837,True,False
650000000.0,0.0,0.018019426050572204,0.010244490471994938,0.015549871157154536,True,False
650000000.0,0.5,0.07245828073729896,0.043922886925712536,0.05707078762317286,True,False
650000000.0,1.0,0.13411868848629438,0.08321331996781708,0.10181073703695459,True,False
650000000.0,2.0,0.2457296519275622,0.1558183171782656,0.17982266949859319,True,False
800000000.0,-2.0,4.960637188139652,2.609032556025781,4.703209264227742,True,False
800000000.0,-1.0,0.06742986677215987,0.04500293905638689,0.044853855431545964,True,False
800000000.0,-0.5,0.0034608624855947006,0.001935370786809914,0.0030509833975695734,True,False
800000000.0,0.0,0.0393141415103528,0.022559637770835757,0.03350900747903408,True,False
800000000.0,0.5,0.0976855351396216,0.059109055681830044,0.0771529589155831,True,False
800000000.0,1.0,0.1579255799696567,0.09782862513393943,0.12019390967143453,True,False
800000000.0,2.0,0.263999259676167,0.16727197131252602,0.193454576727282,True,False
1000000000.0,-2.0,1.4981417010820177,0.8797863254983086,1.2367107511674185,True,False
1000000000.0,-1.0,0.016662556180507368,0.012677590464487758,0.007969931432039216,True,False
1000000000.0,-0.5,0.01940350059511033,0.010161447234879559,0.01848410672046154,True,False
1000000000.0,0.0,0.06891887115857659,0.04004444392476323,0.057748854467626703,True,False
1000000000.0,0.5,0.12790290450124148,0.07754537756071292,0.10071505388105714,True,False
1000000000.0,1.0,0.18531954795423083,0.11483224250771217,0.1409746108930373,True,False
1000000000.0,2.0,0.28472710318388017,0.18038085321319577,0.2086924999413688,True,False
