anchor_region,anchor_source,gamma_sub,T_sw_offset_K,protocol,T_sw_prior_width,observation_count,noise,response_surface_predicted_error,simulator_backed_error,absolute_discrepancy,relative_discrepancy,predicted_recoverable_le_0p1,simulator_recoverable_le_0p1,classification_agreement,finite_result
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,350000000.0,2.0,triangle,1.0,16,0.0,0.06934717316274924,0.03448782035161743,0.03485935281113181,1.01077285997568,True,True,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,350000000.0,0.5,triangle,1.0,16,0.0,0.08030418225977368,0.003857978065405833,0.07644620419436784,19.815095601464034,True,True,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,425000000.0,-0.5,triangle,1.0,16,0.0,0.07623559768009128,0.017128162680801157,0.05910743499929012,3.450891733153799,True,True,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,500000000.0,-2.0,triangle,1.0,16,0.0,0.7613048298437703,0.7299232444317422,0.03138158541202818,0.042992993648886035,False,False,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,1000000000.0,0.5,triangle,1.0,16,0.0,0.15201664958065855,0.022753619844187948,0.1292630297364706,5.6809874921720995,False,True,False,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,300000000.0,-2.0,triangle,1.0,16,0.0,0.8431952327385873,1.0,0.15680476726141268,0.15680476726141268,False,False,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,550000000.0,0.0,triangle,1.0,16,0.0,0.08261277637471744,0.001225421481460677,0.08138735489325676,66.41580560204046,True,True,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,425000000.0,0.0,triangle,1.0,16,0.0,0.03953403007951002,9.638064034301868e-06,0.039524392015475716,4100.864226965957,True,True,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,800000000.0,0.0,triangle,1.0,16,0.0,0.15375272472028853,0.0072898154031112656,0.14646290931717726,20.091442816873997,False,True,False,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,450000000.0,1.0,triangle,1.0,16,0.0,0.03232025780567848,0.017685456761179403,0.014634801044499077,0.8275048387001974,True,True,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,550000000.0,-2.0,triangle,1.0,16,0.0,0.7349184382617475,0.6593765782394342,0.07554186002231333,0.11456557984515249,False,False,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,450000000.0,0.5,triangle,1.0,16,0.0,0.029128025958529986,0.00691953057907687,0.022208495379453116,3.2095378618033275,True,True,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,425000000.0,-1.0,triangle,1.0,16,0.0,0.1829721181935426,0.11659097688565041,0.06638114130789217,0.5693505885365141,False,False,True,True
random_control_zone_extra,leave_one_out_profile_likelihood_source_grid,450000000.0,-0.5,triangle,1.0,16,0.0,0.0679928699771116,0.013758778578371149,0.05423409139874045,3.9417809575042253,True,True,True,True
