structure,geometry,transition_width,pulse,seed,finite_result,interface_bc_residual,current_continuity_error,energy_balance_error,max_delta_T,max_m,conductance_ratio,mean_abs_power
pcm_plus_electrodes_substrate,edge_hotspot,0.1,ltp_ltd,2027,True,0.0,0.0,24223582685.132385,180.0,0.5076495740499152,1.0000000000032827,1.2041666646581427e-16
pcm_plus_electrodes_substrate,edge_hotspot,0.05,short_pulse,2026,True,0.0,0.0,35111111168.70519,180.0,0.5079129134307725,1.0000000000032736,8.307692293828274e-17
pcm_plus_electrodes_substrate,edge_hotspot,0.05,short_pulse,2027,True,0.0,0.0,35111111168.70539,180.0,0.5079129134307725,1.0000000000032827,8.307692293828224e-17
pcm_plus_electrodes_substrate,edge_hotspot,0.05,ltp_ltd,2026,True,0.0,0.0,24223582685.13217,180.0,0.5079043945350195,1.0000000000032736,1.2041666646581533e-16
pcm_plus_electrodes_substrate,edge_hotspot,0.05,ltp_ltd,2027,True,0.0,0.0,24223582685.13226,180.0,0.5079043945350195,1.000000000003283,1.2041666646581487e-16
full_stack_with_contact_resistance,uniform_crossbar,0.2,short_pulse,2026,True,0.0,0.0,35111111169.1169,180.0,0.5079128773199403,1.0000000000020959,8.307692293730858e-17
full_stack_with_contact_resistance,uniform_crossbar,0.2,short_pulse,2027,True,0.0,0.0,35111111169.11704,180.0,0.5079128773199403,1.0000000000021019,8.307692293730825e-17
full_stack_with_contact_resistance,uniform_crossbar,0.2,ltp_ltd,2026,True,0.0,0.0,24223582685.424038,180.0,0.5066107659883523,1.0000000000020952,1.2041666646436445e-16
full_stack_with_contact_resistance,uniform_crossbar,0.2,ltp_ltd,2027,True,0.0,0.0,24223582685.424095,180.0,0.5066107659883523,1.000000000002101,1.2041666646436415e-16
full_stack_with_contact_resistance,uniform_crossbar,0.1,short_pulse,2026,True,0.0,0.0,35111111169.1169,180.0,0.5079129134306216,1.0000000000020959,8.307692293730858e-17
full_stack_with_contact_resistance,uniform_crossbar,0.1,short_pulse,2027,True,0.0,0.0,35111111169.11704,180.0,0.5079129134306216,1.0000000000021019,8.307692293730825e-17
full_stack_with_contact_resistance,uniform_crossbar,0.1,ltp_ltd,2026,True,0.0,0.0,24223582685.423695,180.0,0.5076495740499152,1.0000000000020959,1.2041666646436615e-16
full_stack_with_contact_resistance,uniform_crossbar,0.1,ltp_ltd,2027,True,0.0,0.0,24223582685.423748,180.0,0.5076495740499152,1.0000000000021014,1.2041666646436588e-16
full_stack_with_contact_resistance,uniform_crossbar,0.05,short_pulse,2026,True,0.0,0.0,35111111169.1169,180.0,0.5079129134307725,1.0000000000020959,8.307692293730858e-17
full_stack_with_contact_resistance,uniform_crossbar,0.05,short_pulse,2027,True,0.0,0.0,35111111169.11704,180.0,0.5079129134307725,1.0000000000021019,8.307692293730825e-17
full_stack_with_contact_resistance,uniform_crossbar,0.05,ltp_ltd,2026,True,0.0,0.0,24223582685.42362,180.0,0.5079043945350195,1.0000000000020959,1.2041666646436652e-16
full_stack_with_contact_resistance,uniform_crossbar,0.05,ltp_ltd,2027,True,0.0,0.0,24223582685.423676,180.0,0.5079043945350195,1.0000000000021014,1.2041666646436625e-16
full_stack_with_contact_resistance,localized_filament,0.2,short_pulse,2026,True,0.0,0.0,35111111169.13428,180.0,0.5079128773199403,1.0000000000028488,8.307692293726745e-17
full_stack_with_contact_resistance,localized_filament,0.2,short_pulse,2027,True,0.0,0.0,35111111169.134415,180.0,0.5079128773199403,1.0000000000028548,8.307692293726713e-17
full_stack_with_contact_resistance,localized_filament,0.2,ltp_ltd,2026,True,0.0,0.0,24223582685.431446,180.0,0.5066107659883523,1.0000000000028482,1.2041666646432762e-16
full_stack_with_contact_resistance,localized_filament,0.2,ltp_ltd,2027,True,0.0,0.0,24223582685.431503,180.0,0.5066107659883523,1.0000000000028542,1.2041666646432735e-16
full_stack_with_contact_resistance,localized_filament,0.1,short_pulse,2026,True,0.0,0.0,35111111169.13428,180.0,0.5079129134306216,1.0000000000028488,8.307692293726745e-17
full_stack_with_contact_resistance,localized_filament,0.1,short_pulse,2027,True,0.0,0.0,35111111169.134415,180.0,0.5079129134306216,1.0000000000028548,8.307692293726713e-17
full_stack_with_contact_resistance,localized_filament,0.1,ltp_ltd,2026,True,0.0,0.0,24223582685.43098,180.0,0.5076495740499152,1.0000000000028488,1.204166664643299e-16
full_stack_with_contact_resistance,localized_filament,0.1,ltp_ltd,2027,True,0.0,0.0,24223582685.431038,180.0,0.5076495740499152,1.0000000000028548,1.2041666646432964e-16
full_stack_with_contact_resistance,localized_filament,0.05,short_pulse,2026,True,0.0,0.0,35111111169.13428,180.0,0.5079129134307725,1.0000000000028488,8.307692293726745e-17
full_stack_with_contact_resistance,localized_filament,0.05,short_pulse,2027,True,0.0,0.0,35111111169.134415,180.0,0.5079129134307725,1.0000000000028548,8.307692293726713e-17
full_stack_with_contact_resistance,localized_filament,0.05,ltp_ltd,2026,True,0.0,0.0,24223582685.430878,180.0,0.5079043945350195,1.000000000002849,1.2041666646433045e-16
full_stack_with_contact_resistance,localized_filament,0.05,ltp_ltd,2027,True,0.0,0.0,24223582685.430935,180.0,0.5079043945350195,1.0000000000028548,1.2041666646433016e-16
full_stack_with_contact_resistance,edge_hotspot,0.2,short_pulse,2026,True,0.0,0.0,35111111169.14408,180.0,0.5079128773199403,1.0000000000032736,8.307692293724427e-17
full_stack_with_contact_resistance,edge_hotspot,0.2,short_pulse,2027,True,0.0,0.0,35111111169.144295,180.0,0.5079128773199403,1.000000000003283,8.307692293724377e-17
full_stack_with_contact_resistance,edge_hotspot,0.2,ltp_ltd,2026,True,0.0,0.0,24223582685.435623,180.0,0.5066107659883523,1.000000000003273,1.2041666646430684e-16
full_stack_with_contact_resistance,edge_hotspot,0.2,ltp_ltd,2027,True,0.0,0.0,24223582685.435707,180.0,0.5066107659883523,1.0000000000032818,1.2041666646430642e-16
full_stack_with_contact_resistance,edge_hotspot,0.1,short_pulse,2026,True,0.0,0.0,35111111169.14408,180.0,0.5079129134306216,1.0000000000032736,8.307692293724427e-17
full_stack_with_contact_resistance,edge_hotspot,0.1,short_pulse,2027,True,0.0,0.0,35111111169.144295,180.0,0.5079129134306216,1.000000000003283,8.307692293724377e-17
full_stack_with_contact_resistance,edge_hotspot,0.1,ltp_ltd,2026,True,0.0,0.0,24223582685.43509,180.0,0.5076495740499152,1.0000000000032734,1.204166664643095e-16
full_stack_with_contact_resistance,edge_hotspot,0.1,ltp_ltd,2027,True,0.0,0.0,24223582685.435177,180.0,0.5076495740499152,1.0000000000032825,1.2041666646430908e-16
