transition_width,T_sw_delta_K,model,strategy,seed,finite_residual,state_residual_mse,stiffness_indicator,residual_median_proxy,uses_fourier_features,uses_continuation
1.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.034783776849508286,0.06302464008331299,0.05674111098051071,True,True
1.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.023447556421160698,0.06343944370746613,0.05040531978011131,True,True
1.0,1.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.03136798366904259,0.06417399644851685,0.05542629584670067,True,True
1.0,2.0,vanilla_mlp,direct_stiff_residual,2026,True,0.007399895694106817,0.06171587482094765,0.0691157728433609,False,False
1.0,2.0,vanilla_mlp,direct_stiff_residual,2027,True,0.022690244019031525,0.06135483831167221,0.08404508233070374,False,False
1.0,2.0,vanilla_mlp,direct_stiff_residual,2028,True,0.17901766300201416,0.0517401397228241,0.23075780272483826,False,False
1.0,2.0,vanilla_mlp,low_to_high_width_continuation,2026,True,0.007399895694106817,0.06171587482094765,0.04406130313873291,False,True
1.0,2.0,vanilla_mlp,low_to_high_width_continuation,2027,True,0.022690244019031525,0.06135483831167221,0.05357873812317848,False,True
1.0,2.0,vanilla_mlp,low_to_high_width_continuation,2028,True,0.17901766300201416,0.0517401397228241,0.14710809290409088,False,True
1.0,2.0,fourier_feature_mlp,direct_stiff_residual,2026,True,0.037568945437669754,0.06546957790851593,0.09376505762338638,True,False
1.0,2.0,fourier_feature_mlp,direct_stiff_residual,2027,True,0.02328365109860897,0.0675664097070694,0.0826735571026802,True,False
1.0,2.0,fourier_feature_mlp,direct_stiff_residual,2028,True,0.03356586769223213,0.06997097283601761,0.09421852976083755,True,False
1.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2026,True,0.037568945437669754,0.06546957790851593,0.0597752220928669,True,True
1.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2027,True,0.02328365109860897,0.0675664097070694,0.05270439013838768,True,True
1.0,2.0,fourier_feature_mlp,low_to_high_width_continuation,2028,True,0.03356586769223213,0.06997097283601761,0.06006431207060814,True,True
0.5,0.4,vanilla_mlp,direct_stiff_residual,2026,True,0.022797180339694023,0.24343910813331604,0.266236275434494,False,False
0.5,0.4,vanilla_mlp,direct_stiff_residual,2027,True,0.020942173898220062,0.24390453100204468,0.26484671235084534,False,False
0.5,0.4,vanilla_mlp,direct_stiff_residual,2028,True,0.06610497087240219,0.23724812269210815,0.30335310101509094,False,False
