structure,geometry,pulse,material_family,transition_width,seed,finite_result,interface_bc_residual,potential_jump_residual,normal_current_mismatch,temperature_jump_residual,substrate_robin_residual,energy_balance_error,max_delta_T,conductance_ratio,used_artificial_lateral_factor,used_temperature_clip,used_global_sink,adaptive_substeps_enabled,semi_implicit_boundary_enabled
full_stack_with_SnSe_barrier,uniform_crossbar,ltp_ltd,vo2,0.2,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.88329385209363e-11,1.000000000000223,False,False,False,True,True
full_stack_with_SnSe_barrier,localized_filament,short_pulse,vo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.0000000000003075,False,False,False,True,True
full_stack_with_SnSe_barrier,localized_filament,short_pulse,vo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.0000000000003075,False,False,False,True,True
full_stack_with_SnSe_barrier,localized_filament,ltp_ltd,vo2,0.08,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.88329385209363e-11,1.0000000000003078,False,False,False,True,True
full_stack_with_SnSe_barrier,localized_filament,ltp_ltd,vo2,0.2,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.88329385209363e-11,1.0000000000003078,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,uniform_crossbar,short_pulse,vo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.87281351222191e-11,1.0000000000002234,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,uniform_crossbar,short_pulse,vo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.87281351222191e-11,1.0000000000002234,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,uniform_crossbar,ltp_ltd,vo2,0.08,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.951505954726599e-11,1.000000000000223,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,uniform_crossbar,ltp_ltd,vo2,0.2,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.951505954726599e-11,1.000000000000223,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,localized_filament,short_pulse,vo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.87281351222191e-11,1.0000000000003075,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,localized_filament,short_pulse,vo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.87281351222191e-11,1.0000000000003075,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,localized_filament,ltp_ltd,vo2,0.08,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.951505954726599e-11,1.0000000000003075,False,False,False,True,True
full_stack_with_thermal_boundary_resistance,localized_filament,ltp_ltd,vo2,0.2,2026,True,1.7347234774224105e-16,1.7347234774224105e-16,0.0,0.0,0.0,0.0,5.951505954726599e-11,1.0000000000003075,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,short_pulse,nbo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,8.761838118260249e-11,0.015439423857628753,1.0753928798479666,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,short_pulse,nbo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,8.680520637958991e-11,0.015439423857174006,1.0753928796724757,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,ltp_ltd,nbo2,0.08,2026,True,1.3240088717725702e-16,1.3240088717725702e-16,0.0,0.0,0.0,6.474718781339886e-11,0.010996476420359613,1.075228542367748,False,False,False,True,True
pcm_plus_electrodes,uniform_crossbar,ltp_ltd,nbo2,0.2,2026,True,1.3240088719550527e-16,1.3240088719550527e-16,0.0,0.0,0.0,6.421598282344529e-11,0.010996476419677492,1.07522854219053,False,False,False,True,True
pcm_plus_electrodes,localized_filament,short_pulse,nbo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,8.357070844912011e-11,0.03806302982462739,1.0753917409482718,False,False,False,True,True
pcm_plus_electrodes,localized_filament,short_pulse,nbo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,8.405064008761503e-11,0.03806302982354737,1.0753917407708475,False,False,False,True,True
pcm_plus_electrodes,localized_filament,ltp_ltd,nbo2,0.08,2026,True,1.5234210729559425e-16,1.2597198311969875e-16,1.5234210729559425e-16,0.0,0.0,6.192953423317203e-11,0.02710195576253227,1.075179196474467,False,False,False,True,True
pcm_plus_electrodes,localized_filament,ltp_ltd,nbo2,0.2,2026,True,1.540597306563104e-16,1.2597198313714973e-16,1.540597306563104e-16,0.0,0.0,6.18522306155027e-11,0.027101955761111185,1.0751791962945523,False,False,False,True,True
full_stack_with_SnSe_barrier,uniform_crossbar,short_pulse,nbo2,0.08,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.0000000000114464,False,False,False,True,True
full_stack_with_SnSe_barrier,uniform_crossbar,short_pulse,nbo2,0.2,2026,True,0.0,0.0,0.0,0.0,0.0,0.0,7.73070496506989e-11,1.0000000000114464,False,False,False,True,True
