true_gamma_sub,n_obs,noise_level,nearest_grid_gamma_sub,nearest_grid_relative_error,nearest_grid_objective_value,continuous_refined_gamma_sub,continuous_refined_relative_error,continuous_refined_objective_value,continuous_refined_G_loss,continuous_refined_I_loss,continuous_eval_count,continuous_bracket_low,continuous_bracket_high,refinement_resimulated_non_grid,error_reduction,success_flag,optimizer_success
438000000.0,64,0.02,425000000.0,0.02968036529680365,0.0027473756865450303,436142369.3410505,0.0042411658880125444,0.0026791027296092897,0.0010210086260575935,0.003314125855736989,7,400000000.0,450000000.0,True,0.025439199408791108,True,True
438000000.0,64,0.05,425000000.0,0.02968036529680365,0.01528495661812542,420493107.29084504,0.03997007467843599,0.015273656073424886,0.006309186447709125,0.017926910881318012,7,400000000.0,450000000.0,True,-0.010289709381632338,True,True
462000000.0,8,0.0,450000000.0,0.025974025974025976,0.000131857863741587,462000237.300375,5.136371752916476e-07,1.058623097381088e-06,2.713726754964295e-14,4.495367686417197e-14,7,425000000.0,475000000.0,True,0.025973512336850683,True,True
462000000.0,8,0.02,450000000.0,0.025974025974025976,0.001896973480893337,461807884.0881658,0.00041583530700039037,0.0017716047519010804,0.0010869713246501073,0.0013671500112082146,7,425000000.0,475000000.0,True,0.025558190667025586,True,True
462000000.0,8,0.05,500000000.0,0.08225108225108226,0.021922603996228782,487710382.9925344,0.05565017963752034,0.021806450694222504,0.01350683689568966,0.016597057303086526,8,475000000.0,550000000.0,True,0.026600902613561912,True,True
462000000.0,16,0.0,450000000.0,0.025974025974025976,9.919965102207929e-05,462003555.6340776,7.69617765716144e-06,1.058634947854768e-06,4.516328948209357e-12,7.71274336995128e-12,7,425000000.0,475000000.0,True,0.025966329796368814,True,True
462000000.0,16,0.02,450000000.0,0.025974025974025976,0.002232993437994885,455432240.04875934,0.014215930630391036,0.0022126886748005292,0.0011754945968644914,0.002072284699492329,7,425000000.0,475000000.0,True,0.01175809534363494,True,True
462000000.0,16,0.05,450000000.0,0.025974025974025976,0.013184316638233445,440501739.38995355,0.046533031623477154,0.013119832685387795,0.007288091661206926,0.01166141033176849,7,425000000.0,475000000.0,True,-0.02055900564945118,True,True
462000000.0,32,0.0,450000000.0,0.025974025974025976,8.194469460388987e-05,461995075.0636104,1.0660035475378944e-05,1.0586309365429173e-06,7.285197734870973e-12,1.1953116582633378e-11,7,425000000.0,475000000.0,True,0.025963365938550597,True,True
462000000.0,32,0.02,475000000.0,0.02813852813852814,0.0031035467321013214,473681290.2101977,0.02528417794415084,0.0031026220181216793,0.0011964590090863605,0.0038101844783175027,7,450000000.0,500000000.0,True,0.002854350194377301,True,True
462000000.0,32,0.05,450000000.0,0.025974025974025976,0.019508982988690048,461476163.80882335,0.0011338445696464348,0.01943666515218219,0.00673437204454892,0.025402470066506568,7,425000000.0,475000000.0,True,0.02484018140437954,True,True
462000000.0,64,0.0,450000000.0,0.025974025974025976,7.340644404576025e-05,462000348.9374243,7.552758101777081e-07,1.0586231602752466e-06,3.3349000292310775e-14,5.2518576168529294e-14,7,425000000.0,475000000.0,True,0.025973270698215797,True,True
462000000.0,64,0.02,450000000.0,0.025974025974025976,0.0028903178511602793,458780259.2980579,0.006969135718489364,0.002851235287783005,0.0010563419366174849,0.00358767620848383,7,425000000.0,475000000.0,True,0.019004890255536613,True,True
462000000.0,64,0.05,475000000.0,0.02813852813852814,0.017289160091329803,465654466.4692498,0.007910100582791742,0.017248366490347306,0.0066684050077906835,0.021157798085340948,7,450000000.0,500000000.0,True,0.020228427555736398,True,True
515000000.0,8,0.0,500000000.0,0.02912621359223301,0.00016989789456533006,514999245.91181916,1.4642488948349814e-06,1.1086146194382869e-06,2.2258219261502916e-13,3.7000886419857687e-13,8,475000000.0,550000000.0,True,0.029124749343338176,True,True
515000000.0,8,0.02,500000000.0,0.02912621359223301,0.001989671580946808,508250916.10341,0.013105017274932029,0.0019378377530865404,0.0009360588977426959,0.002001351986167326,9,475000000.0,550000000.0,True,0.016021196317300982,True,False
515000000.0,8,0.05,475000000.0,0.07766990291262135,0.012053438889579859,486404159.4972091,0.05552590388891442,0.011943602213374567,0.00685707578116545,0.010170885228093252,7,450000000.0,500000000.0,True,0.02214399902370693,True,True
515000000.0,16,0.0,500000000.0,0.02912621359223301,0.00012835606148682246,514999107.6447629,1.7327286157793212e-06,1.1086145715978993e-06,2.3362468519989344e-13,3.949398367912568e-13,8,475000000.0,550000000.0,True,0.02912448086361723,True,True
515000000.0,16,0.02,500000000.0,0.02912621359223301,0.0017935672275973067,511522509.859088,0.006752408040605818,0.0017169739088212974,0.0008192262764700035,0.0017932840255753596,9,475000000.0,550000000.0,True,0.022373805551627192,True,False
515000000.0,16,0.05,550000000.0,0.06796116504854369,0.022639567225300274,533862319.9026855,0.03662586388870975,0.02251217044093527,0.009735962818520679,0.025550166211068225,8,500000000.0,650000000.0,True,0.031335301159833934,True,True
515000000.0,32,0.0,500000000.0,0.02912621359223301,0.00010679904645835731,514998984.69054955,1.971474661063222e-06,1.1086144718337436e-06,2.5696212034588516e-13,4.146705305735636e-13,8,475000000.0,550000000.0,True,0.029124242117571947,True,True
515000000.0,32,0.02,500000000.0,0.02912621359223301,0.0025083086240599876,517168834.0906492,0.004211328331357646,0.0023706771959994366,0.001251728396061954,0.0022356766562058286,8,475000000.0,550000000.0,True,0.024914885260875364,True,True
515000000.0,32,0.05,550000000.0,0.06796116504854369,0.016460984931893775,525379651.5990189,0.020154663299065772,0.016211160848221308,0.007973984899591864,0.01647211706490161,8,500000000.0,650000000.0,True,0.04780650174947791,True,True
515000000.0,64,0.0,500000000.0,0.02912621359223301,9.619959693395155e-05,514997970.98799413,3.939829137603056e-06,1.1086147702809133e-06,9.4201655229839e-13,1.4561417679574744e-12,8,475000000.0,550000000.0,True,0.029122273763095407,True,True
515000000.0,64,0.02,500000000.0,0.02912621359223301,0.0025252757775049445,506707899.53313804,0.016101165955071772,0.0025059517151232785,0.000950015728589647,0.0031096690028979243,8,475000000.0,550000000.0,True,0.013025047637161238,True,True
515000000.0,64,0.05,500000000.0,0.02912621359223301,0.014971747632040079,513336957.85750437,0.0032292080436808392,0.014898432593042315,0.006934998997984762,0.015924652825618984,9,475000000.0,550000000.0,True,0.02589700554855217,True,False
