profile_type,fixed_value,profiled_value,min_objective,G_loss,I_loss
min_over_T_sw_for_gamma,762697428.8195407,1.0,0.2861587087344529,0.156137497068573,0.2600424233317597
min_over_T_sw_for_gamma,786003085.5966228,0.0,0.08988138250031166,0.046302494395863536,0.08715777620889621
min_over_T_sw_for_gamma,810020890.6218665,0.0,0.06485506245508486,0.034558114891184016,0.0605938951278017
min_over_T_sw_for_gamma,834772604.9266045,1.0,0.26913700513585515,0.14882789681471995,0.24061821664227045
min_over_T_sw_for_gamma,860280654.4914777,1.0,0.3968296830258394,0.20771959411968693,0.378220177812305
min_over_T_sw_for_gamma,886568150.5652133,2.0,0.46436565760212106,0.25836869197190443,0.4119939312604333
min_over_T_sw_for_gamma,913658910.6042826,2.0,0.4585679267597275,0.2567296433132357,0.4036765668929836
min_over_T_sw_for_gamma,941577479.8524089,1.0,0.37045319409389965,0.19855184951366378,0.3438026891604717
min_over_T_sw_for_gamma,970349153.5794777,0.0,0.19689502391744565,0.09982059218099398,0.19414886347290342
min_over_T_sw_for_gamma,1000000000.0,-1.0,0.016662556180507368,0.012677590464487758,0.007969931432039216
min_over_gamma_for_T_sw,-2.0,1000000000.0,1.4981417010820177,0.8797863254983086,1.2367107511674185
min_over_gamma_for_T_sw,-1.9333333333333333,1000000000.0,4.9694991636531745,2.489074803238302,4.960848720829741
min_over_gamma_for_T_sw,-1.8666666666666667,1000000000.0,10.141380948844578,4.879473457277527,10.523814983134095
min_over_gamma_for_T_sw,-1.8,1000000000.0,13.476555642768147,6.410788783168698,14.1315337191989
min_over_gamma_for_T_sw,-1.7333333333333334,1000000000.0,15.12867213192941,7.158829918510453,15.939684426837918
min_over_gamma_for_T_sw,-1.6666666666666667,1000000000.0,15.581778741464667,7.350856047121853,16.461845388685624
min_over_gamma_for_T_sw,-1.6,1000000000.0,15.195989436645117,7.155077589880334,16.081823693529568
min_over_gamma_for_T_sw,-1.5333333333333332,1000000000.0,14.23682032432195,6.695032481956442,15.083575684731017
min_over_gamma_for_T_sw,-1.4666666666666668,1000000000.0,12.901999686837328,6.06244127547706,13.67911682272054
min_over_gamma_for_T_sw,-1.4,1000000000.0,11.33460996598425,5.323488695571988,12.022242540824525
min_over_gamma_for_T_sw,-1.3333333333333335,1000000000.0,9.629506605039522,4.521871755732753,10.215269698613541
min_over_gamma_for_T_sw,-1.2666666666666666,1000000000.0,7.834295185984931,3.6792568332147684,8.310076705540324
min_over_gamma_for_T_sw,-1.2,485593374.83020395,5.8703174088278605,2.7761112522568387,6.1884123131420425
min_over_gamma_for_T_sw,-1.1333333333333333,471195120.25029045,3.4474468068073,1.6532044672354578,3.5884846791436864
min_over_gamma_for_T_sw,-1.0666666666666667,1000000000.0,1.4944169789216528,0.7060484465663637,1.5767370647105792
min_over_gamma_for_T_sw,-1.0,1000000000.0,0.016662556180507368,0.012677590464487758,0.007969931432039216
min_over_gamma_for_T_sw,-0.9333333333333333,1000000000.0,1.2665402651653683,0.5992191234728647,1.3346422833850071
min_over_gamma_for_T_sw,-0.8666666666666667,485593374.83020395,2.079010696848252,1.0104871316156117,2.13704713046528
min_over_gamma_for_T_sw,-0.8,485593374.83020395,2.318911182181122,1.1138378517748568,2.41014666081253
min_over_gamma_for_T_sw,-0.7333333333333334,485593374.83020395,2.1064942701549523,1.0063977244014615,2.200193091506981
min_over_gamma_for_T_sw,-0.6666666666666667,471195120.25029045,1.5608436475595482,0.7451876504649919,1.631311994189112
min_over_gamma_for_T_sw,-0.6000000000000001,471195120.25029045,0.8851529776441361,0.4247422649205474,0.9208214254471775
min_over_gamma_for_T_sw,-0.5333333333333334,1000000000.0,0.27425273163769903,0.12994905114011301,0.28860736099517204
min_over_gamma_for_T_sw,-0.4666666666666668,1000000000.0,0.2582651546174978,0.1224456295802114,0.27163905007457284
min_over_gamma_for_T_sw,-0.3999999999999999,471195120.25029045,0.6729375526790011,0.3231494339253563,0.6995762375072899
min_over_gamma_for_T_sw,-0.33333333333333326,471195120.25029045,0.958605138103207,0.4562837542351412,1.0046427677361316
min_over_gamma_for_T_sw,-0.2666666666666666,471195120.25029045,1.0341929272663308,0.49041544231299394,1.0875549699066738
min_over_gamma_for_T_sw,-0.19999999999999996,471195120.25029045,0.897426777183191,0.4247690572054096,0.9453154399555624
min_over_gamma_for_T_sw,-0.1333333333333333,457223786.1056496,0.6090384008711036,0.28802741338732674,0.6420219749675539
min_over_gamma_for_T_sw,-0.06666666666666665,457223786.1056496,0.2755388939838819,0.13030344110737926,0.2904709057530053
min_over_gamma_for_T_sw,0.0,500431595.2035617,0.002603597421887395,0.0014767012080237282,0.002253792427727332
min_over_gamma_for_T_sw,0.06666666666666643,457223786.1056496,0.2413935110308348,0.11424732854243806,0.2542923649767934
min_over_gamma_for_T_sw,0.1333333333333333,457223786.1056496,0.4671598167228055,0.22128566477316797,0.49174830389927504
