fraction,old_delta,new_delta,reversal_temperature_K,literal_tpr_K,atanh_tpr_K,literal_realized_fraction,atanh_realized_fraction,anchor_inverse_abs_error,literal_tpr_discrepancy_K,atanh_tpr_discrepancy_K,literal_state_discrepancy,atanh_state_discrepancy,literal_state_jump,atanh_state_jump,literal_temperature_contract_K,atanh_temperature_contract_K
0.5044991000000001,1,-1,336.3609330321501,-7.192999040055213,-7.192999999999984,0.5044989761427321,0.5044990975659138,3.1086244689504383e-15,0.0,0.0,0.0,0.0,-1.2385726799735153e-07,-2.434086265878932e-09,-1.924334395213029e-08,-1.924334652025901e-08
0.5049990000000001,1,-1,336.3569808966271,-7.192998683188307,-7.192999999999984,0.5049988310059336,0.5049989975659601,2.4424906541753444e-15,0.0,0.0,0.0,0.0,-1.6899406651837978e-07,-2.434039969578805e-09,-1.9243342997408545e-08,-1.924334652025901e-08
0.5054989000000001,1,-1,336.3530286820842,-7.192998247301546,-7.192999999999984,0.5054986758764772,0.5054988975660112,3.3306690738754696e-16,0.0,0.0,0.0,0.0,-2.2412352285172688e-07,-2.4339888993196723e-09,-1.9243341831285925e-08,-1.924334652025901e-08
0.5059988000000001,1,-1,336.3490763806158,-7.192997724489317,-7.192999999999984,0.5059985097554046,0.5059987975660671,2.7755575615628914e-15,0.0,0.0,0.0,0.0,-2.902445954688915e-07,-2.4339329440792312e-09,-1.9243340432612646e-08,-1.924334652025901e-08
0.5064987000000001,1,-1,336.34512398431536,-7.1929971068449845,-7.192999999999984,0.5064983316438447,0.506498697566128,5.551115123125783e-16,0.0,0.0,0.0,0.0,-3.683561553557979e-07,-2.4338721038574818e-09,-1.9243338780236185e-08,-1.924334652025901e-08
0.5069986000000001,1,-1,336.3411714852749,-7.192996386460663,-7.192999999999984,0.5069981405430228,0.5069985975661937,5.551115123125783e-16,0.0,0.0,0.0,0.0,-4.5945697724203427e-07,-2.433806378654424e-09,-1.924333685300066e-08,-1.924334652025901e-08
0.5074985000000001,1,-1,336.33721887558545,-7.192995555427331,-7.192999999999984,0.5074979354542679,0.5074984975662642,3.3306690738754696e-16,0.0,0.0,0.0,0.0,-5.645457321623581e-07,-2.4337358794923603e-09,-1.9243334629747165e-08,-1.924334652025901e-08
0.5079984000000001,1,-1,336.3332661473366,-7.192994605834599,-7.192999999999984,0.5079977153790207,0.5079983975663397,1.5543122344752192e-15,0.0,0.0,0.0,0.0,-6.846209793520686e-07,-2.4336603843266857e-09,-1.924333208931313e-08,-1.924334652025901e-08
0.5084983000000001,1,-1,336.3293132926166,-7.1929935297707175,-7.192999999999984,0.5084974793188419,0.50849829756642,1.1102230246251565e-15,0.0,0.0,0.0,0.0,-8.206811581423779e-07,-2.4335801152020053e-09,-1.9243329210532353e-08,-1.924334652025901e-08
0.5089982000000001,1,-1,336.325360303512,-7.192992319322286,-7.192999999999984,0.5089972262754197,0.5089981975665051,2.3314683517128287e-15,0.0,0.0,0.0,0.0,-9.737245804108952e-07,-2.4334949610960166e-09,-1.92433259722342e-08,-1.924334652025901e-08
