phase,protocol,delta_T_sw_K,observation_count,noise,seed,solver_level,gamma_est,relative_error,objective,retained_candidate_count,abstained,success,target_cache_key
discovery,ltp_ltd,2.0,32,0.02,20260719,base,1000000000.0,1.2222222222222223,0.036551515416559745,4,False,False,270be7f5473c71f50d9bae58e8b87bf68a1f920a2481bb327f3d476b720d9eed|delta_T_sw_K=2|ffd5976d538e06e3352d65b680c24abed25748f60f9f4f6ec33d87d70a61a47b
discovery,triangle,0.0,8,0.0,20260715,base,450000000.0,0.0,0.0,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,8,0.02,20260715,base,425000000.0,0.05555555555555555,0.002167048956536436,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,8,0.02,20260716,base,450000000.0,0.0,0.001787395359202049,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,8,0.02,20260717,base,450000000.0,0.0,0.002011748474296713,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,8,0.02,20260718,base,475000000.0,0.05555555555555555,0.0032818829900981943,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,8,0.02,20260719,base,475000000.0,0.05555555555555555,0.0007066304476369509,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,32,0.0,20260715,base,450000000.0,0.0,0.0,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,32,0.02,20260715,base,450000000.0,0.0,0.00235055283547837,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,32,0.02,20260716,base,450000000.0,0.0,0.0027220228058589236,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,32,0.02,20260717,base,450000000.0,0.0,0.0024275679447762063,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,32,0.02,20260718,base,450000000.0,0.0,0.003715927319606384,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.0,32,0.02,20260719,base,425000000.0,0.05555555555555555,0.002126952643964696,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,8,0.0,20260715,base,550000000.0,0.2222222222222222,0.00046835623965410566,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,8,0.02,20260715,base,550000000.0,0.2222222222222222,0.0022508262186241336,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,8,0.02,20260716,base,550000000.0,0.2222222222222222,0.0019852352518773446,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,8,0.02,20260717,base,550000000.0,0.2222222222222222,0.001581300960822128,7,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,8,0.02,20260718,base,550000000.0,0.2222222222222222,0.004306843846865754,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,8,0.02,20260719,base,550000000.0,0.2222222222222222,0.0025184160142575473,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,32,0.0,20260715,base,550000000.0,0.2222222222222222,0.0005873140115977435,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,32,0.02,20260715,base,550000000.0,0.2222222222222222,0.002446948439159905,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,32,0.02,20260716,base,550000000.0,0.2222222222222222,0.0034544667750078593,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,32,0.02,20260717,base,550000000.0,0.2222222222222222,0.002785312878412013,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,32,0.02,20260718,base,550000000.0,0.2222222222222222,0.0038792570226835444,5,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,0.2,32,0.02,20260719,base,550000000.0,0.2222222222222222,0.003080792992092347,6,True,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=0.20000000000000001|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,8,0.0,20260715,base,1000000000.0,1.2222222222222223,0.12545603954500878,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,8,0.02,20260715,base,1000000000.0,1.2222222222222223,0.11780814504438374,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,8,0.02,20260716,base,1000000000.0,1.2222222222222223,0.12170034801376825,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,8,0.02,20260717,base,1000000000.0,1.2222222222222223,0.1187643764175261,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,8,0.02,20260718,base,1000000000.0,1.2222222222222223,0.1373643772672077,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,8,0.02,20260719,base,1000000000.0,1.2222222222222223,0.1448396645269554,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,32,0.0,20260715,base,1000000000.0,1.2222222222222223,0.11989697954242562,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,32,0.02,20260715,base,1000000000.0,1.2222222222222223,0.11946937990960621,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,32,0.02,20260716,base,1000000000.0,1.2222222222222223,0.12430806777143288,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,32,0.02,20260717,base,1000000000.0,1.2222222222222223,0.12028670263790407,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,32,0.02,20260718,base,1000000000.0,1.2222222222222223,0.1188550696589162,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
discovery,triangle,2.0,32,0.02,20260719,base,1000000000.0,1.2222222222222223,0.12222916558876264,2,False,False,0175f31d5c1db10ccbf01cb7dc2725bde7f217a4e8e8587083d2ea742dd6444f|delta_T_sw_K=2|776fadd63b70c17fe431536b6260615528c0fe5ea443503e90a2117840294029
