observation_protocol,geometry,noise,observation_count,seed,true_lateral_coupling,estimated_lateral_coupling,true_amplitude,estimated_amplitude,relative_error,success,objective_value,finite_result
terminal_multi_pulse,uniform_strip,0.0,32,2026,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,32,2027,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,32,2028,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,32,2029,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.0,32,2030,0.35,0.35,1.05,1.05,0.0,True,0.0,True
terminal_multi_pulse,uniform_strip,0.02,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0003236965285765706,True
terminal_multi_pulse,uniform_strip,0.02,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00032729722886542254,True
terminal_multi_pulse,uniform_strip,0.02,8,2028,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.00038480350327616393,True
terminal_multi_pulse,uniform_strip,0.02,8,2029,0.35,0.35,1.05,1.05,0.0,True,0.00021536022133801782,True
terminal_multi_pulse,uniform_strip,0.02,8,2030,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.00020032185122280605,True
terminal_multi_pulse,uniform_strip,0.02,16,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00039341431487462857,True
terminal_multi_pulse,uniform_strip,0.02,16,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00032848689745574623,True
terminal_multi_pulse,uniform_strip,0.02,16,2028,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00033533941075027666,True
terminal_multi_pulse,uniform_strip,0.02,16,2029,0.35,0.35,1.05,1.05,0.0,True,0.0003760985872320899,True
terminal_multi_pulse,uniform_strip,0.02,16,2030,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00024341356336954128,True
terminal_multi_pulse,uniform_strip,0.02,32,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.00040932465145701173,True
terminal_multi_pulse,uniform_strip,0.02,32,2027,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.0003173746820749864,True
terminal_multi_pulse,uniform_strip,0.02,32,2028,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.00029285228729703167,True
terminal_multi_pulse,uniform_strip,0.02,32,2029,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.0004179468127089406,True
terminal_multi_pulse,uniform_strip,0.02,32,2030,0.35,0.35,1.05,1.05,0.0,True,0.0003082096626085818,True
terminal_multi_pulse,uniform_strip,0.05,8,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.004487299845880255,True
terminal_multi_pulse,uniform_strip,0.05,8,2027,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.002445136730721582,True
terminal_multi_pulse,uniform_strip,0.05,8,2028,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.0010625097069340407,True
terminal_multi_pulse,uniform_strip,0.05,8,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.0022969696134783092,True
terminal_multi_pulse,uniform_strip,0.05,8,2030,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.00255125527445214,True
terminal_multi_pulse,uniform_strip,0.05,16,2026,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.004016517150432048,True
terminal_multi_pulse,uniform_strip,0.05,16,2027,0.35,0.35,1.05,1.05,0.0,True,0.0029205788472527316,True
terminal_multi_pulse,uniform_strip,0.05,16,2028,0.35,0.55,1.05,1.05,0.37142857142857155,False,0.0017599699962064339,True
terminal_multi_pulse,uniform_strip,0.05,16,2029,0.35,0.15,1.05,1.05,0.37142857142857144,False,0.002440362909556985,True
