geometry,transition_width,lateral_coupling,seed,finite_fields,finite_residual,final_mean_T,max_T,final_conductance,max_conductance,spatial_sigma_std,residual_rms
localized_hotspot,0.2,0.0,2026,True,True,0.6000405217957467,1.8339745729956354,4.725582314193744,4.725582314193744,5.146097654646063,0.0
localized_hotspot,0.2,0.0,2027,True,True,0.5995497893110325,1.9049589585860764,4.724482881455538,4.724482881455538,5.134567470211058,0.0
localized_hotspot,0.2,0.0,2028,True,True,0.5988932759892089,1.8750294161633645,4.714008605646329,4.714008605646329,5.138067748447316,0.0
localized_hotspot,0.2,0.25,2026,True,True,0.6000405217957467,1.7579123308152034,4.7323621478554845,4.7323621478554845,5.070103604205414,0.0
localized_hotspot,0.2,0.25,2027,True,True,0.5995497893110325,1.7983886130046052,4.726734941364389,4.726734941364389,5.048743107970027,0.0
localized_hotspot,0.2,0.25,2028,True,True,0.5988932759892089,1.7826395991280082,4.716763967992576,4.716763967992576,5.0498666686386375,0.0
localized_hotspot,0.2,0.5,2026,True,True,0.6000405217957467,1.702104156377311,4.734754321437791,4.734754321437791,4.9823245442504,0.0
localized_hotspot,0.2,0.5,2027,True,True,0.5995497893110325,1.722946919905218,4.726412925761747,4.726412925761747,4.958277632548427,0.0
localized_hotspot,0.2,0.5,2028,True,True,0.5988932759892089,1.7133729357823415,4.716903913617873,4.716903913617873,4.956801795906152,0.0
defect_seeded_filament,0.05,0.0,2026,True,True,0.7347885529420138,1.9746434790407619,5.567014607439751,5.567014607439751,8.835460410824076,0.0
defect_seeded_filament,0.05,0.0,2027,True,True,0.7339068596204967,1.9170689065588904,5.550269461206615,5.550269461206615,8.821756574730452,0.0
defect_seeded_filament,0.05,0.0,2028,True,True,0.7334667214776395,1.9458390955086684,5.551591748082111,5.551591748082111,8.813472394931933,0.0
defect_seeded_filament,0.05,0.25,2026,True,True,0.7347885529420138,1.854142279493588,5.6438600593119626,5.6438600593119626,8.872185286793961,0.0
defect_seeded_filament,0.05,0.25,2027,True,True,0.7339068596204966,1.8311067291088887,5.631846173395149,5.631846173395149,8.867954683222187,0.0
defect_seeded_filament,0.05,0.25,2028,True,True,0.7334667214776395,1.8322361962075673,5.6441917082407596,5.6441917082407596,8.86991469706001,0.0
defect_seeded_filament,0.05,0.5,2026,True,True,0.7347885529420138,1.7681269205689911,5.71423706822363,5.71423706822363,8.899006437176846,0.0
defect_seeded_filament,0.05,0.5,2027,True,True,0.7339068596204968,1.7653035590670403,5.701807257448051,5.701807257448051,8.893636468958382,0.0
defect_seeded_filament,0.05,0.5,2028,True,True,0.7334667214776395,1.7720018842971537,5.715498952283201,5.715498952283201,8.901317903521592,0.0
defect_seeded_filament,0.1,0.0,2026,True,True,0.7347885529420138,1.9746434790407619,5.738382627941304,5.738382627941304,8.383373273549449,0.0
defect_seeded_filament,0.1,0.0,2027,True,True,0.7339068596204967,1.9170689065588904,5.7271788151927945,5.7271788151927945,8.366686501122354,0.0
defect_seeded_filament,0.1,0.0,2028,True,True,0.7334667214776395,1.9458390955086684,5.724317154251158,5.724317154251158,8.375080821256134,0.0
defect_seeded_filament,0.1,0.25,2026,True,True,0.7347885529420138,1.854142279493588,5.819642476926069,5.819642476926069,8.388492192462373,0.0
defect_seeded_filament,0.1,0.25,2027,True,True,0.7339068596204966,1.8311067291088887,5.809317638148692,5.809317638148692,8.382146808132989,0.0
defect_seeded_filament,0.1,0.25,2028,True,True,0.7334667214776395,1.8322361962075673,5.812079302120965,5.812079302120965,8.388893382159395,0.0
defect_seeded_filament,0.1,0.5,2026,True,True,0.7347885529420138,1.7681269205689911,5.890219183509993,5.890219183509993,8.382095706660534,0.0
defect_seeded_filament,0.1,0.5,2027,True,True,0.7339068596204968,1.7653035590670403,5.878472405277031,5.878472405277031,8.375420007903212,0.0
defect_seeded_filament,0.1,0.5,2028,True,True,0.7334667214776395,1.7720018842971537,5.883496158750393,5.883496158750393,8.38549666208829,0.0
defect_seeded_filament,0.2,0.0,2026,True,True,0.7347885529420138,1.9746434790407619,6.912160487468044,6.912160487468044,6.9971746702893025,0.0
defect_seeded_filament,0.2,0.0,2027,True,True,0.7339068596204967,1.9170689065588904,6.900555394008351,6.900555394008351,6.9846489678759855,0.0
defect_seeded_filament,0.2,0.0,2028,True,True,0.7334667214776395,1.9458390955086684,6.894356222949739,6.894356222949739,7.0071770825246595,0.0
defect_seeded_filament,0.2,0.25,2026,True,True,0.7347885529420138,1.854142279493588,6.971355730507924,6.971355730507924,6.941692391175333,0.0
defect_seeded_filament,0.2,0.25,2027,True,True,0.7339068596204966,1.8311067291088887,6.959622043483005,6.959622043483005,6.931621569357459,0.0
defect_seeded_filament,0.2,0.25,2028,True,True,0.7334667214776395,1.8322361962075673,6.95599905637521,6.95599905637521,6.95451557831511,0.0
defect_seeded_filament,0.2,0.5,2026,True,True,0.7347885529420138,1.7681269205689911,7.020623432310752,7.020623432310752,6.876759911143378,0.0
